Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity International,,,,,,,,,,,,,,,
"Summer 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
3
3
3","Sophomore
2
2
2
2
2
2","Junior
3
2
1
1
1
8
1
4
2
1
1
9
1
1","Senior
5
2
2
2
4
1
1
2
19
5
2
5
4
16
1
1
2",PB,"Total
8
2
4
3
8
1
2
3
1
32
6
9
4
6
4
1
30
1
4
5",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,21,21,24,24,,,53,
,,,,,,,,2,2,3,3,,,7,
,,,,,,,,11,11,12,12,,,27,
,,,,,,,,14,14,8,8,,,25,
,,,,,,,,25,25,34,34,,,67,
,,,,,,,,4,4,8,8,,,12,
,,,,,,,,3,3,8,8,,,11,
,,,,,,,,6,6,16,16,,,22,
,,,,,,,,5,5,15,15,,,20,
,,,,,,,,3,3,9,9,,,12,
,,,,,,,,,,11,11,,,12,
,,,,,,,,1,1,6,6,,,9,
,,,,,,,,22,22,21,21,,,46,
,,,,,,,,5,6,10,10,,,17,
,,,,,,,1,122,123,185,185,,,340,
,,,,,,,2,43,45,19,19,,,64,
,,,,,,,,18,18,,,,,18,
,,,,,,,,25,25,10,10,,,35,
,,,,,,,2,86,88,29,29,,,117,
,,,,,,,,9,9,5,5,,,20,
,,,,,,,2,12,14,,,,,23,
,,,,,,,,14,14,4,4,,,22,
,,,,,,,,17,17,7,7,,,30,
,,,,,,,,,,13,13,,,17,
,,,,,,,,5,5,5,5,,,11,
,,,,,,,2,57,59,34,34,,,123,
,,,,,,,1,1,2,19,19,,,21,
,,,,,,,,5,5,13,13,,,18,
,,,,,,,,3,3,8,8,,,12,
,,,,,,,,2,2,8,8,,,14,
,,,,,,,1,11,12,48,48,,,65,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,
