Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity International,,,,,,,,,,,,,,,
"Summer 2003
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
3
2
4
1
3
2
17
1
1
2","Sophomore
1
2
9
7
3
3
25
1
1
2","Junior
2
2
2
9
2
18
3
6
3
1
48
2
3
1
6
3
1
4","Senior
1
4
9
4
15
6
10
9
2
1
61
1
6
1
8
1
1","PB
1
1
1
3","Total
5
2
7
23
9
46
9
24
19
2
8
154
1
9
5
1
16
4
2
1
7",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,24,24,29,29,,,58,
,,,,,,,,12,12,17,17,,,31,
,,,,,,,,21,21,58,58,,,86,
,,,,,,,,2,2,9,9,,,11,
,,,,,,,,60,61,73,73,,,157,
,,,,,,,,66,66,74,74,,,149,
,,,,,,,,56,56,128,128,,,230,
,,,,,,,,,,,,,,9,
,,,,,,,,64,64,37,37,,,125,
,,,,,,,,78,78,75,75,,,172,
,,,,,,,,14,14,20,20,,,36,
,,,,,,,1,74,75,27,27,,,110,
,,,,,,,2,471,473,547,547,,,"1,174",
,,,,,,,1,3,4,,,,,4,
,,,,,,,1,3,4,,,,,4,
,,,,,,,,3,3,12,12,,,15,
,,,,,,,,2,2,4,4,,,6,
,,,,,,,,7,7,10,10,,,17,
,,,,,,,,7,7,17,17,,,24,
,,,,,,,,19,19,43,43,,,62,
,,,,,,,1,,1,1,1,,,3,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,,10,10,11,11,,,30,
,,,,,,,,1,1,5,5,,,6,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,10,10,,,10,
,,,,,,,,,,5,5,,,10,
,,,,,,,,,,6,6,,,7,
,,,,,,,1,14,15,40,40,,,71,
,,,,,,,,5,5,8,8,,,17,
,,,,,,,,33,33,57,57,,,90,
,,,,,,,,19,19,34,34,,,55,
,,,,,,,,18,18,58,58,,,77,
,,,,,,,,12,12,27,27,,,39,
,,,,,,,,87,87,184,184,,,278,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,
