Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity Unknown/Other,,,,,,,,,,,,,,,
"Summer 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
10
1
12","Sophomore
1
1
1
1
2","Junior
3
1
1
1
1
1
8
1
1
3
5
1
1
2","Senior
7
3
1
1
1
2
2
17
4
1
1
6
2
3
2
3
1
11
1
2
3",PB,"Total
2
10
4
11
1
1
2
1
1
1
1
3
38
4
1
1
6
2
4
2
4
4
16
2
2
3
7",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,2,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,13,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,1,1,,,4,
,,,,,,,,2,2,1,1,,,6,
,,,,,,,,8,8,4,4,,,50,
,,,,,,,,1,1,,,,,5,
,,,,,,,,1,1,,,,,2,
,,,,,,,,2,2,,,,,3,
,,,,,,,,4,4,,,,,10,
,,,,,,,,1,1,,,,,3,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,1,1,,,5,
,,,,,,,,1,1,,,,,5,
,,,,,,,,5,5,1,1,,,22,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,4,4,,,5,
,,,,,,,,2,3,,,,,3,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,2,,2,1,1,,,6,
,,,,,,,3,4,7,6,6,,,20,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,
