Headcount by Major by Level by Entry Status,,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,,
"Summer 2003
Business                  ACCT
Admin                     AGBU BUAD BUAG FINC INFO MGMT MISY MKTG MLER
Subtotal
Education                CPSY EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPSY TECR
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
12
12
3
1
4",1st Time PB,"1st Time Transfer
2
20
22
2
25
1
11
5
44","Readmitted
2
1
3
2
4
12
1
2
2
2
3
10","Continuing
449
1
265
1
301
144
200
398
1,759
74
191
280
105
515
52
220
12
1,449",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,2,51,1,31,1,1,19,,,554,
,,,,,,,,,,,,,,,1,
,,,,,,,,,33,,,,,,333,
,,,,,,,,,,,,,,,1,
,,,,,,,44,,36,,,9,,,393,
,,,,,,,,,,,,11,,,155,
,,,,,,,1,,18,,,23,,,244,
,,,,,,,13,,33,,,,,,46,
,,,,,,,5,,28,,,10,,,446,
,,,,,,,,,34,,,,,,34,
,,,,,,2,114,,213,1,,72,,,"2,207",
,,,,,,,1,,5,,,27,,,33,
,,,,,,7,5,,69,1,,153,,,237,
,,,,,,41,24,2,72,1,1,88,,,229,
,,,,,,,,,,,,,,,77,
,,,,,,,,,,,,,,,221,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,294,
,,,,,,,3,,18,,,,,,21,
,,,,,,3,6,1,15,1,,110,,,136,
,,,,,,3,7,,85,1,,48,,,144,
,,,,,,,1,,5,,,11,,,17,
,,,,,,,,,,,,,,,107,
,,,,,,,,,,,,,,,515,
,,,,,,,,,,,,,,,57,
,,,,,,1,7,,35,1,,20,,,287,
,,,,,,,1,,5,,,3,,,9,
,,,,,,,,,4,,,32,,,36,
,,,,,,,,,,,,,,,12,
,,,,,,55,55,4,313,5,2,492,,,"2,433",
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,,
