Headcount by Major by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,,,,,
Summer 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,23,28,1,1,2,4,1,2,1,2,26,29,3,1,52,64,116,
,COMG,3,9,,,,,,,,,6,12,,,9,22,31,
,COSC,15,162,,,3,18,1,,,,,,,1,19,181,200,
,COSL,7,92,,2,2,10,1,1,,,,,,,11,107,118,
,ENDL,24,44,,3,3,6,1,1,,,,,,,29,54,83,
,ENDS,54,59,,1,5,4,2,2,,1,,,,1,64,68,132,
,LAND,5,6,,,2,,,,,,11,2,1,,19,8,27,
,LANL,6,6,,,1,1,,,,,,,,1,7,8,15,
,LDEV,,6,,1,,,,,,,,4,1,,1,11,12,
,URPL,1,3,,,,,,,,,3,5,,,4,8,12,
,URSC,2,7,,,,,,,,,3,7,,,5,14,19,
,VIZA,5,12,,,1,3,2,,,,5,4,,1,13,20,33,
,Subtotal,145,434,1,8,19,46,8,6,1,3,54,63,5,5,233,565,798,
Business,ACCT,274,200,11,,18,7,14,6,,1,13,7,1,2,331,223,554,
Admin,AGBU,,1,,,,,,,,,,,,,,1,1,
,BUAD,149,120,6,4,10,8,6,3,,2,6,17,,2,177,156,333,
,BUAG,,1,,,,,,,,,,,,,,1,1,
,FINC,135,191,3,2,9,12,5,7,,3,8,14,2,2,162,231,393,
,INFO,36,81,1,1,5,6,7,2,1,,8,5,1,1,59,96,155,
,MGMT,96,93,3,,15,7,3,4,,1,8,9,3,2,128,116,244,
,MISY,12,14,,,1,1,,,,,6,11,,1,19,27,46,
,MKTG,267,111,5,1,22,9,7,4,3,1,4,7,3,2,311,135,446,
,MLER,7,26,,,,,,1,,,,,,,7,27,34,
,Subtotal,976,838,29,8,80,50,42,27,4,8,53,70,10,12,"1,194","1,013",2207,
Education,CPSY,14,15,2,1,1,,,,,,,,,,17,16,33,
,EDAD,104,69,20,8,19,6,1,,2,,5,,1,2,152,85,237,
,EDCI,136,25,25,5,17,2,2,2,2,,9,1,2,1,193,36,229,
,EDHL,57,8,2,1,6,1,,1,1,,,,,,66,11,77,
,EDIS,172,8,6,2,21,1,5,,2,,3,,1,,210,11,221,
,EDIT,,1,,,,,,,,,,,,,,1,1,
,EDKI,122,135,3,4,9,12,1,4,1,1,,,,2,136,158,294,
,EDTC,14,3,1,,1,,,,,,2,,,,18,3,21,
,EHRD,48,36,7,4,11,8,1,3,,,10,6,1,1,78,58,136,
,EPSY,88,7,4,1,26,,,,,,12,3,3,,133,11,144,
,HEED,10,4,1,1,,,,,,,,,1,,12,5,17,
,HLTH,74,8,8,,13,,4,,,,,,,,99,8,107,
,INST,451,17,5,1,28,2,3,,5,,1,,2,,495,20,515,
,ISNC,25,13,2,2,6,4,,3,,,,,1,1,34,23,57,
,KINE,135,108,6,4,5,13,2,1,1,,4,8,,,153,134,287,
,PHED,3,3,,,,,,1,1,,,,1,,5,4,9,
,SPSY,21,2,4,,3,4,1,,,,,1,,,29,7,36,
,TECR,7,2,,,2,1,,,,,,,,,9,3,12,
,Subtotal,"1,481",464,96,34,168,54,20,15,15,1,46,19,13,7,"1,839",594,2433,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,,,,,
