Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College G. Bush School of Govt,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,62,21.6%,,,,,62,21.6%,
Gender,Female,,,32,52.4%,,,,,32,52.4%,
,Male,,,30,0.0%,,,,,30,0.0%,
Ethnicity,White,,,47,14.6%,,,,,47,14.6%,
,Black,,,0,-100.0%,,,,,0,-100.0%,
,Hispanic,,,8,60.0%,,,,,8,60.0%,
,Asian,,,1,100.0%,,,,,1,100.0%,
,American Indian,,,1,0.0%,,,,,1,0.0%,
,International,,,4,300.0%,,,,,4,300.0%,
,Unknown/Other,,,1,0.0%,,,,,1,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,1,0.0%,,,,,1,0.0%,
,22-25,,,45,60.7%,,,,,45,60.7%,
,26-30,,,8,-42.9%,,,,,8,-42.9%,
,31-39,,,7,40.0%,,,,,7,40.0%,
,40+,,,1,-66.7%,,,,,1,-66.7%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,4,n/a,,,,,4,n/a,
,1st Time Graduate,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,58,18.4%,,,,,58,18.4%,
Tuition,Resident Tuition,,,43,19.4%,,,,,43,19.4%,
Status,Non-Resident Tuition,,,2,0.0%,,,,,2,0.0%,
,Tuition Exemption/Waiver,,,17,30.8%,,,,,17,30.8%,
Residency,Texas Resident,,,43,10.3%,,,,,43,10.3%,
Status,"Non-TX, US Resident",,,15,36.4%,,,,,15,36.4%,
,"Non-TX, Non-US Resident",,,4,300.0%,,,,,4,300.0%,
SCH,< 6 SCH,,,4,-73.3%,,,,,4,-73.3%,
Categories,6-8 SCH,,,53,120.8%,,,,,53,120.8%,
,9-11 SCH,,,0,-100.0%,,,,,0,-100.0%,
,12-14 SCH,,,3,0.0%,,,,,3,0.0%,
,15-17 SCH,,,2,100.0%,,,,,2,100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,,,,,,,,,
"TAMU
Status","Half-Time
Three-Quarter Time",,,0,-100.0%,,,,,0,-100.0%,
,Full-Time,,,62,24.0%,,,,,62,24.0%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
