Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College Geosciences,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,159,-16.3%,103,-5.5%,73,-16.1%,,,335,-13.2%,
Gender,Female,68,-19.0%,45,15.4%,28,3.7%,,,141,-6.0%,
,Male,91,-14.2%,58,-17.1%,45,-25.0%,,,194,-17.8%,
Ethnicity,White,138,-19.3%,73,5.8%,28,-12.5%,,,239,-12.1%,
,Black,4,300.0%,,,,,,,4,300.0%,
,Hispanic,14,7.7%,4,-20.0%,,,,,18,0.0%,
,Asian,1,100.0%,2,100.0%,1,-66.7%,,,4,0.0%,
,American Indian,,,0,-100.0%,1,100.0%,,,1,0.0%,
,International,0,-100.0%,19,-38.7%,43,-17.3%,,,62,-27.1%,
,Unknown/Other,2,-33.3%,5,150.0%,,,,,7,40.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,59,-4.8%,0,-100.0%,,,,,59,-6.3%,
,22-25,84,-13.4%,46,24.3%,2,100.0%,,,132,-2.2%,
,26-30,11,-47.6%,33,-28.3%,19,-17.4%,,,63,-30.0%,
,31-39,4,-55.6%,20,-9.1%,39,-22.0%,,,63,-22.2%,
,40+,1,0.0%,4,33.3%,13,0.0%,,,18,5.9%,
Enrollment,1st Time in College,0,-100.0%,,,,,,,0,-100.0%,
Status,1st Time PB,1,0.0%,6,n/a,,,,,7,n/a,
,1st Time Graduate,,,3,-40.0%,0,-100.0%,,,3,-50.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,3,-40.0%,,,,,,,3,-40.0%,
,Readmitted,1,0.0%,,,,,,,1,0.0%,
,Continuing,154,-15.4%,94,-9.6%,73,-15.1%,,,321,-13.7%,
Tuition,Resident Tuition,152,-15.6%,36,12.5%,15,15.4%,,,203,-9.8%,
Status,Non-Resident Tuition,4,-33.3%,11,-38.9%,12,-36.8%,,,27,-37.2%,
,Tuition Exemption/Waiver,3,-25.0%,56,-5.1%,46,-16.4%,,,105,-11.0%,
Residency,Texas Resident,152,-16.5%,36,9.1%,14,7.7%,,,202,-11.4%,
Status,"Non-TX, US Resident",7,16.7%,48,6.7%,16,-23.8%,,,71,-1.4%,
,"Non-TX, Non-US Resident",0,-100.0%,19,-38.7%,43,-18.9%,,,62,-27.9%,
SCH,< 6 SCH,51,13.3%,27,28.6%,19,-26.9%,,,97,5.4%,
Categories,6-8 SCH,73,1.4%,74,-9.8%,54,-10.0%,,,201,-6.1%,
,9-11 SCH,23,-48.9%,1,-83.3%,0,-100.0%,,,24,-53.8%,
,12-14 SCH,11,-52.2%,1,100.0%,,,,,12,-47.8%,
,15-17 SCH,1,-75.0%,,,,,,,1,-75.0%,
,>17 SCH,0,-100.0%,,,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,15,50.0%,16,60.0%,14,-30.0%,,,45,12.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","52
0","10.6%
-100.0%",5,66.7%,1,-50.0%,,,"58
0","11.5%
-100.0%",
,Full-Time,92,-30.3%,82,-14.6%,58,-10.8%,,,232,-20.8%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
