Office of Institutional Studies and Planning,,,,,,,,,
Undergraduate Students,,,,,,,,,
Fall 2004,,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,,
Fall 2004,,"U0: UG
Non-Degree","U1:
Freshmen","U2:
Sophomore","U3:
Junior",U4: Senior,U5: Undergraduate PB,Grand Total,
Head Count,Total,60,"8,449","7,410","8,943","10,803",67,"35,732",
Gender,Female,23,"4,153","3,703","4,526","5,136",28,"17,569",
,Male,37,"4,296","3,707","4,417","5,667",39,"18,163",
Ethnicity,White,14,"6,737","6,166","7,346","8,878",56,"29,197",
,Black,,252,161,220,203,,836,
,Hispanic,1,"1,058",701,842,999,3,"3,604",
,Asian,1,296,234,278,355,1,"1,165",
,American Indian,,46,26,59,58,4,193,
,International,42,50,104,145,191,3,535,
,Unknown/Other,2,10,18,53,119,,202,
TAMU Age,<18,3,65,6,1,,,75,
Categories,18-21,15,"8,357","7,126","6,898","3,029",,"25,425",
,22-25,34,20,222,"1,820","7,208",32,"9,336",
,26-30,3,5,39,152,364,16,579,
,31-39,3,2,10,49,128,11,203,
,40+,2,,7,23,74,8,114,
College,Agriculture,6,673,948,"1,636","1,905",13,"5,181",
,Architecture,1,208,220,331,529,,"1,289",
,Business Admin,1,841,731,"1,195","1,251",1,"4,020",
,Education,1,535,730,"1,095","1,489",18,"3,868",
,Engineering,5,"1,521","1,274","1,479","2,322",27,"6,628",
,Geosciences,,81,81,130,161,4,457,
,Liberal Arts,,881,"1,137","1,981","2,250",2,"6,251",
,Science,1,645,443,465,474,1,"2,029",
,Veterinary Medicine,,664,458,444,420,1,"1,987",
,General Studies,4,"2,400","1,388",187,2,,"3,981",
,Other - Special Populations,41,,,,,,41,
Enrollment,1st Time in College,,"6,777",268,22,1,,"7,068",
Status,1st Time PB,,,,,,14,14,
,1st Time Transfer,,120,867,501,38,,"1,526",
,Readmitted,,15,134,166,148,2,465,
,Continuing,60,"1,537","6,141","8,254","10,616",51,"26,659",
Tuition Status,Resident Tuition,15,"8,056","7,044","8,521","10,273",59,"33,968",
,Non-Resident Tuition,45,187,186,228,301,7,954,
,Tuition Exemption/Waiver,,206,180,194,229,1,810,
Residency,Texas Resident,15,"8,090","7,050","8,520","10,280",60,"34,015",
Status,"Non-TX, US Resident",2,303,254,268,328,4,"1,159",
,"Non-TX, Non-US Resident",43,56,106,155,195,3,558,
SCH Categories,< 6 SCH,10,471,128,71,246,8,934,
,6-8 SCH,1,49,112,146,742,10,"1,060",
,9-11 SCH,,66,249,367,"1,038",18,"1,738",
,12-14 SCH,35,"6,691","4,910","5,176","5,705",23,"22,540",
,15-17 SCH,14,"1,164","1,955","3,006","2,814",8,"8,961",
,>17 SCH,,8,56,177,258,,499,
Ft/Pt: TAMU,Less Than Half Time,10,470,127,35,153,7,802,
Status,Half-Time,1,49,112,141,565,10,878,
,Three-Quarter Time,,66,248,364,986,11,"1,675",
,Full-Time,49,"7,864","6,923","8,403","9,099",39,"32,377",
Top 10% Texas,No,56,"4,821","4,310","5,371","6,512",49,"21,119",
High School,Yes,4,"3,628","3,100","3,572","4,291",18,"14,613",
First Generation,No,7,"5,835","5,235","6,037","6,375",33,"23,522",
,Unknown,48,126,271,585,"1,984",20,"3,034",
,Yes,5,"2,488","1,904","2,321","2,444",14,"9,176",
"Prepared by OISP, 06 Dec 04",,,,,,,,,
