"Fall 2004
Business                  ACCT
Admin                     AGBU BUAD BUAG FINC INFO MGMT MISY MKTG MLER
Subtotal
Education                CPSY EDAD EDCI EDHL EDIS EDKI EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPSY TECR
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
758
6
764
15
239
167
3
424","1st Time PB
1
1
1
1","1st Time Transfer
7
40
7
2
2
3
61
16
164
76
2
12
270","Readmitted
1
7
6
1
1
4
20
3
11
9
2
6
5
2
38","Continuing
620
7
863
8
557
164
378
577
3,174
181
635
635
117
991
216
339
21
3,135",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,5,115,1,24,1,2,13,,,781,
,,,,,,,,,,,,,,,7,
,,,,,,,117,,110,,,,,,"1,900",
,,,,,,,,,,,,,,,14,
,,,,,,,88,,22,3,,7,,,690,
,,,,,,,2,,,,,11,,,180,
,,,,,,,26,,20,4,,19,,,450,
,,,,,,,53,,60,,,,,,113,
,,,,,,,14,,27,2,,14,,,642,
,,,,,,1,34,,40,,,,,,75,
,,,,,,6,449,,303,10,,64,,,"4,852",
,,,,,,,4,,1,1,,38,,,44,
,,,,,,19,25,,73,15,,192,,,327,
,,,,,,54,70,1,78,17,,131,,,351,
,,,,,,,,,,,,,,,215,
,,,,,,,,,,,,,,,"1,049",
,,,,,,,,,,,,,,,887,
,,,,,,,9,,30,,,,,,39,
,,,,,,10,13,,28,12,,106,,,169,
,,,,,,4,33,,70,7,,89,,,203,
,,,,,,,4,,6,2,,19,,,31,
,,,,,,,,,,,,,,,119,
,,,,,,,,,,,,,,,"1,000",
,,,,,,,,,,,,,,,236,
,,,,,,1,20,,36,5,,17,,,420,
,,,,,,,1,,1,1,1,6,,,10,
,,,,,,,5,,,,,37,,,42,
,,,,,,,,,,,,,,,21,
,,,,,,88,184,2,323,60,3,635,,,"5,163",
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,,
