Top 10,,,,,,,,
Fall 2004  Feeder Patterns First Time In College,,,,,,,,
State,Students  % Total,,,,,,,
Texas,6780,,95.9%,,,,,
Louisiana,37,,0.5%,,,,,
California,18,,0.3%,,,,,
New Mexico,13,,0.2%,,,,,
Kansas,12,,0.2%,,,,,
Oklahoma,11,,0.2%,,,,,
Florida,11,,0.2%,,,,,
Arkansas,10,,0.1%,,,,,
Tennessee,10,,0.1%,,,,,
Missouri,9,,0.1%,,,,,
Country,,Students  % Total,,,,,,
United States,,7022,,,99.3%,,,
India,,12,,,0.2%,,,
Canada,,6,,,0.1%,,,
Mexico,,3,,,0.0%,,,
"Korea, Republic of",,3,,,0.0%,,,
Costa Rica,,2,,,0.0%,,,
"China, People's Rep",,2,,,0.0%,,,
Nicaragua,,2,,,0.0%,,,
Saudi Arabia,,2,,,0.0%,,,
United Kingdom,,2,,,0.0%,,,
Texas County   Students  % Total,,,,,,,,
Harris,,1212,,17.1%,,,,
Dallas,,441,,6.2%,,,,
Bexar,,378,,5.3%,,,,
Tarrant,,375,,5.3%,,,,
Fort Bend,,260,,3.7%,,,,
Travis,,232,,3.3%,,,,
Montgomery,,202,,2.9%,,,,
Collin,,201,,2.8%,,,,
Brazos,,186,,2.6%,,,,
Denton,,159,,2.2%,,,,
