"Spring 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
24
2
2
9
37
5
32
42
17
42
47
13
6
6
107
13
89
16
435
186
25
38
7
256
318
318
1,231
1,231
4,491","Sophomore
20
8
19
17
64
14
78
161
66
100
112
26
18
17
182
20
220
43
1,057
198
35
45
14
292
324
324
956
956
6,255","Junior
27
4
49
18
98
28
79
219
182
162
161
66
29
33
263
23
386
71
1,702
205
43
60
25
333
317
317
121
121
7,334","Senior
34
3
73
43
153
38
105
246
218
201
198
139
21
36
263
28
395
88
1,976
226
46
100
22
394
385
385
1
1
9,263","PB
1
2
3
1
1
2
1
1
2
5
5
75","Total
106
17
143
89
355
85
294
668
483
506
518
244
75
92
815
84
1,090
218
5,172
816
150
243
68
1,277
1,349
1,349
2,309
2,309
27,418",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,4,24,28,7,7,446,446,141,
,,,,,,,,2,2,,,,,19,
,,,,,,,2,10,12,9,9,,,164,
,,,,,,,1,38,39,15,15,,,143,
,,,,,,,,29,29,15,15,,,44,
,,,,,,,7,103,110,46,46,,,511,
,,,,,,,4,50,54,28,28,,,167,
,,,,,,,,,,,,,,294,
,,,,,,,3,9,12,16,16,,,696,
,,,,,,,,15,15,11,11,,,509,
,,,,,,,2,29,31,40,40,,,577,
,,,,,,,2,18,20,32,32,,,570,
,,,,,,,,9,9,,,,,253,
,,,,,,,3,4,7,,,,,82,
,,,,,,,,18,18,3,3,,,113,
,,,,,,,1,9,10,33,33,,,858,
,,,,,,,,,,,,,,84,
,,,,,,,1,17,18,39,39,,,"1,147",
,,,,,,,,10,10,20,20,,,248,
,,,,,,,16,188,204,222,222,,,"5,598",
,,,,,,,3,16,19,31,31,,,866,
,,,,,,,,37,37,57,57,,,244,
,,,,,,,17,62,79,14,14,,,336,
,,,,,,,,12,12,14,14,,,94,
,,,,,,,2,14,16,11,11,,,27,
,,,,,,,22,141,163,127,127,,,"1,567",
,,,,,,,,,,,,,,"1,795",
,,,,,,,1,9,10,15,15,,,25,
,,,,,,,,4,4,,,,,4,
,,,,,,,,2,2,,,,,2,
,,,,,,,2,19,21,19,19,,,40,
,,,,,,,,7,7,5,5,,,12,
,,,,,,,3,41,44,39,39,446,446,"1,878",
,,,,,,,,,,,,,,"2,309",
,,,,,,,,,,,,,,"2,309",
,,,,,,,1,,1,,,,,1,
,,,,,,,,5,5,,,,,5,
,,,,,,,1,,1,,,,,1,
,,,,,,,25,,25,,,,,25,
,,,,,,,27,5,32,,,,,32,
,,,,,,,254,"2,252","2,506","1,289","1,289",446,446,"31,659",
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
