"Spring 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
5
1
7
1
1
2
2
3
1
4
2
4
5
4
7
1
2
25","Sophomore
5
1
1
3
15
1
2
1
1
30
3
1
4
22
22
2
9
5
16
4
2
2
6
2
1
4
1
4
4
30","Junior
1
16
6
1
1
16
3
3
47
2
2
1
5
7
2
3
4
1
4
21
2
14
10
26
2
4
1
4
5
6
4
2
6
1
2
37","Senior
3
15
1
4
4
5
1
4
2
2
2
43
3
2
5
6
4
5
5
5
25
2
10
8
20
5
2
5
9
13
16
5
1
4
2
62","PB
1
1","Total
4
36
8
6
9
41
1
1
9
3
1
2
6
127
8
5
2
15
13
26
7
9
6
9
70
6
36
24
66
6
9
8
11
16
19
30
21
11
13
5
6
155",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,6,6,3,3,,,4,
,,,,,,,,,,,,,,45,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,,,,,7,
,,,,,,,,1,1,1,1,,,11,
,,,,,,,,,,,,,,41,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,1,1,,,5,
,,,,,,,,,,,,,,6,
,,,,,,,,10,10,6,6,,,143,
,,,,,,,,,1,,,,,9,
,,,,,,,,2,2,,,,,7,
,,,,,,,,2,2,1,1,,,5,
,,,,,,,1,4,5,1,1,,,21,
,,,,,,,,2,2,,,,,15,
,,,,,,,1,4,5,,,,,31,
,,,,,,,,1,1,,,,,8,
,,,,,,,,3,3,,,,,12,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,9,
,,,,,,,1,10,11,1,1,,,82,
,,,,,,,,,,,,,,6,
,,,,,,,5,9,14,35,35,,,49,
,,,,,,,1,7,8,10,10,,,18,
,,,,,,,1,3,4,4,4,,,44,
,,,,,,,3,6,9,30,30,,,63,
,,,,,,,10,25,35,79,79,,,180,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,9,
,,,,,,,,3,3,,,,,11,
,,,,,,,,1,1,3,3,,,15,
,,,,,,,1,4,5,3,3,,,24,
,,,,,,,,,,1,1,,,20,
,,,,,,,,,,1,1,,,31,
,,,,,,,,,,,,,,21,
,,,,,,,,3,3,2,2,,,16,
,,,,,,,,,,,,,,13,
,,,,,,,,1,1,,,,,6,
,,,,,,,,,,,,,,6,
,,,,,,,1,12,13,11,11,,,179,
,,,,,,,3,3,6,,,,,6,
,,,,,,,3,3,6,,,,,6,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
