"Spring 2004
Head Count       Total
Gender               Female Male
Ethnicity            White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition               Resident Tuition
Status                 Non-Resident Tuition Tuition Exemption/Waiver
Residency          Texas Resident
Status                 Non-TX, US Resident
Non-TX, Non-US Resident
SCH                   < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                  Less Than Half Time
TAMU               Half-Time
Full-Time",Undergraduate,,,,,Graduate,,,,Professional,,
,"1st Time in College
94
38
56
75
14
3
2
86
7
1
5
5
10
9
21
11
8
6
19
94
87
3
4
88
4
2
1
81
11
1
1
93","1st Time PB
12
6
6
12
5
5
1
1
5
1
3
1
1
1
12
10
2
10
2
1
1
3
5
2
1
1
3
7","1st Time Transfer
715
330
385
573
7
69
18
8
37
3
461
193
39
18
4
193
36
2
136
95
10
171
19
19
34
516
199
661
47
7
662
16
37
22
39
54
527
71
2
21
39
54
601","Readmitted
247
102
145
200
8
21
10
3
4
1
69
130
36
5
7
47
5
11
23
29
2
55
13
2
60
87
160
236
9
2
239
4
4
12
35
13
130
54
3
12
33
13
189","Continuing
32,293
15,943
16,350
26,558
753
3,050
1,028
161
482
261
7
17,397
13,898
671
208
112
4,948
1,171
4,020
3,416
6,165
379
6,033
1,665
1,692
2,762
42
12,362
19,931
30,662
914
717
30,690
1,103
500
818
1,225
1,947
18,030
9,578
695
695
1,007
1,881
28,710",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,
,,,,,,174,452,9,"7,103",1,500,
,,,,,,96,179,4,"2,799",1,361,
,,,,,,78,273,5,"4,304",,139,
,,,,,,111,219,6,"3,459",1,445,
,,,,,,11,19,1,178,,1,
,,,,,,19,33,,370,,34,
,,,,,,3,11,,156,,10,
,,,,,,1,,,14,,2,
,,,,,,18,163,2,"2,829",,,
,,,,,,11,7,,97,,8,
,,,,,,,1,,1,,5,
,,,,,,50,198,,"1,978",1,240,
,,,,,,45,132,,"2,424",,181,
,,,,,,45,79,3,"1,822",,63,
,,,,,,34,42,6,878,,11,
,,,,,,13,65,2,"1,101",,,
,,,,,,2,23,,452,,,
,,,,,,2,30,,682,,,
,,,,,,65,99,5,"1,077",,,
,,,,,,14,157,1,"1,905",,,
,,,,,,21,3,,127,,,
,,,,,,2,15,,263,,,
,,,,,,8,16,,667,,,
,,,,,,7,35,1,652,,,
,,,,,,,4,,136,1,500,
,,,,,,40,5,,41,,,
,,,,,,174,352,2,"3,981",,,
,,,,,,,100,7,"3,122",,,
,,,,,,,,,,1,500,
,,,,,,131,251,7,"3,174",1,473,
,,,,,,27,64,1,853,,6,
,,,,,,16,137,1,"3,076",,21,
,,,,,,133,255,7,"3,183",1,473,
,,,,,,23,34,,"1,069",,27,
,,,,,,18,163,2,"2,851",,,
,,,,,,89,52,5,"1,291",,,
,,,,,,60,53,1,499,,,
,,,,,,19,281,2,"4,370",,,
,,,,,,5,57,1,705,,,
,,,,,,1,7,,154,,,
,,,,,,,2,,84,1,500,
,,,,,,83,43,4,"1,064",,,
,,,,,,66,62,2,706,,,
,,,,,,25,347,3,"5,333",1,500,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
