"Summer 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations     COFD INEN SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,73,15.9%,0,-100.0%,1,-50.0%,,,,,,18,20.0%,,2,-33.3%,94,10.6%,
,10,400.0%,,,1,100.0%,,,,,,,,,,,11,450.0%,
,91,11.0%,3,50.0%,11,0.0%,,,,,,6,0.0%,,1,0.0%,112,9.8%,
,62,6.9%,,,5,25.0%,1,-66.7%,,1,0.0%,18,5.9%,,4,33.3%,91,5.8%,
,32,-5.9%,,,1,0.0%,1,0.0%,,,,19,-20.8%,,,,53,-11.7%,
,268,12.1%,3,-25.0%,19,5.6%,2,-50.0%,,1,0.0%,61,-1.6%,,7,0.0%,361,7.8%,
,58,-9.4%,,,6,-14.3%,2,100.0%,,1,100.0%,1,-66.7%,,2,-33.3%,70,-10.3%,
,99,-1.0%,3,-25.0%,33,43.5%,5,66.7%,,3,200.0%,1,100.0%,,3,200.0%,147,11.4%,
,288,3.6%,5,25.0%,33,22.2%,2,0.0%,,1,-66.7%,7,133.3%,,4,-20.0%,340,5.6%,
,291,13.2%,9,0.0%,41,17.1%,17,13.3%,,1,100.0%,35,16.7%,,5,-28.6%,399,13.0%,
,282,21.0%,18,125.0%,25,0.0%,7,75.0%,,1,-66.7%,8,33.3%,,7,75.0%,348,23.0%,
,237,4.4%,1,0.0%,21,-25.0%,2,0.0%,,1,-66.7%,,,,6,20.0%,268,0.8%,
,80,-50.0%,3,-40.0%,7,-41.7%,0,-100.0%,,0,-100.0%,5,150.0%,,2,0.0%,97,-47.3%,
,41,64.0%,1,100.0%,18,0.0%,1,0.0%,,,,,,,0,-100.0%,61,35.6%,
,33,-10.8%,,,11,120.0%,1,100.0%,,,,1,100.0%,,3,0.0%,49,8.9%,
,416,5.1%,12,50.0%,44,-12.0%,7,-22.2%,,4,100.0%,12,20.0%,,1,-83.3%,496,3.1%,
,26,18.2%,,,7,40.0%,0,-100.0%,,,,,,,,,33,17.9%,
,495,-5.2%,29,38.1%,64,3.2%,17,-15.0%,,4,0.0%,9,-10.0%,,2,-77.8%,620,-4.3%,
,147,8.9%,13,44.4%,32,28.0%,5,0.0%,,2,100.0%,4,-42.9%,,1,-66.7%,204,10.9%,
,"2,493",1.5%,94,36.2%,342,6.2%,66,1.5%,,18,5.9%,83,16.9%,,36,-26.5%,"3,132",2.7%,
,321,8.8%,15,-6.3%,70,25.0%,41,13.9%,,1,100.0%,22,29.4%,,2,-60.0%,472,11.1%,
,137,0.0%,6,-33.3%,26,13.0%,16,14.3%,,1,0.0%,100,11.1%,,5,150.0%,291,5.4%,
,158,17.0%,0,-100.0%,12,33.3%,9,0.0%,,0,-100.0%,54,-1.8%,,3,-50.0%,236,8.3%,
,82,-2.4%,2,100.0%,8,0.0%,4,100.0%,,1,100.0%,79,2.6%,,1,-80.0%,177,0.0%,
,7,-30.0%,,,1,100.0%,,,,,,35,-10.3%,,,,43,-12.2%,
,705,6.7%,23,-20.7%,117,21.9%,70,14.8%,,3,50.0%,290,4.3%,,11,-38.9%,"1,219",6.5%,
,590,1.0%,13,44.4%,70,11.1%,34,-2.9%,,5,0.0%,2,100.0%,,8,-38.5%,722,1.7%,
,21,40.0%,,,1,100.0%,0,-100.0%,,,,16,33.3%,,0,-100.0%,38,31.0%,
,2,-60.0%,,,,,,,,,,,,,,,2,-60.0%,
,1,-50.0%,,,,,0,-100.0%,,,,,,,,,1,-66.7%,
,35,20.7%,0,-100.0%,2,0.0%,1,0.0%,,,,12,33.3%,,1,0.0%,51,18.6%,
,9,-35.7%,1,0.0%,,,1,-50.0%,,,,17,30.8%,,1,0.0%,29,-6.5%,
,658,1.4%,14,27.3%,73,12.3%,36,-10.0%,,5,0.0%,47,34.3%,,10,-37.5%,843,2.7%,
,484,26.0%,47,27.0%,106,35.9%,21,162.5%,,3,100.0%,7,-12.5%,,2,-66.7%,670,28.6%,
,484,26.0%,47,27.0%,106,35.9%,21,162.5%,,3,100.0%,7,-12.5%,,2,-66.7%,670,28.6%,
,2,-60.0%,,,0,-100.0%,,,,,,1,-90.0%,,,,3,-81.3%,
,8,-11.1%,1,0.0%,2,0.0%,5,25.0%,,,,13,550.0%,,,,29,61.1%,
,0,-100.0%,,,,,,,,,,,,,,,0,-100.0%,
,,,,,,,,,,,,0,-100.0%,,,,0,-100.0%,
,5,-54.5%,2,100.0%,1,0.0%,0,-100.0%,,,,0,-100.0%,,,,8,-50.0%,
,15,-42.3%,3,50.0%,3,-25.0%,5,0.0%,,,,14,-44.0%,,,,40,-35.5%,
,"13,728",2.4%,576,12.7%,"1,657",8.9%,579,4.7%,,79,-2.5%,"2,283",-0.8%,,185,-25.4%,"19,087",2.5%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,,,,
