"Summer 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD Populations             COFD
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
5
9
8
2
1
1
12
3
3
67
67
121","Sophomore
1
1
3
5
7
1
2
3
4
4
3
32
5
1
1
7
9
9
27
27
144","Junior
4
1
5
1
11
8
12
16
8
2
7
2
14
3
29
6
119
27
3
3
33
25
25
12
12
438","Senior
1
1
6
2
10
5
18
16
21
8
11
5
9
6
21
3
21
12
156
28
3
4
1
36
24
24
631","PB
1","Total
1
1
10
4
16
6
33
29
40
24
21
7
18
11
39
7
55
26
316
68
9
6
5
88
61
61
106
106
1,335",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,,1,1,1,9,9,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,,5,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,2,,2,1,1,,,19,
,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,33,
,,,,,,,,1,,1,3,3,,,33,
,,,,,,,,,,,1,1,,,41,
,,,,,,,,,,,1,1,,,25,
,,,,,,,,,,,,,,,21,
,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,18,
,,,,,,,,,,,,,,,11,
,,,,,,,,2,,2,3,3,,,44,
,,,,,,,,,,,,,,,7,
,,,,,,,,4,,4,5,5,,,64,
,,,,,,,,4,,4,2,2,,,32,
,,,,,,,,11,,11,15,15,,,342,
,,,,,,,,1,,1,1,1,,,70,
,,,,,,,,13,,13,4,4,,,26,
,,,,,,,,5,,6,,,,,12,
,,,,,,,1,1,,2,1,1,,,8,
,,,,,,,,,,,1,1,,,1,
,,,,,,,2,20,,22,7,7,,,117,
,,,,,,,,,,,,,,,70,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,2,,2,,,,,2,
,,,,,,,,3,,3,,,9,9,73,
,,,,,,,,,,,,,,,106,
,,,,,,,,,,,,,,,106,
,,,,,,,,2,,2,,,,,2,
,,,,,,,1,,,1,,,,,1,
,,,,,,,1,2,,3,,,,,3,
,,,,,,,21,169,,190,123,123,9,9,"1,657",
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,
