"Summer 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
AGEC CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
1
1
4","Sophomore
1
1
2
1
1","Junior
1
1
1
2
1
1
7
1
1
2
1
1
1
1
4","Senior
5
2
1
1
2
1
1
1
2
16
1
1
2
1
2
1
3
7
1
5
2
8
1
2
2
2
2
2
1
2
1
15",PB,"Total
1
6
2
1
2
1
1
2
2
2
1
1
3
25
1
1
2
1
1
3
1
4
10
1
5
2
8
1
1
3
3
4
2
2
2
3
2
1
24",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,,3,1,1,,,1,
,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,1,
,,,,,,,,3,,3,,,,,4,
,,,,,,,,,,,,,,,2,
,,,,,,,,1,,1,,,,,2,
,,,,,,,,1,,1,,,,,2,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,1,,1,,,,,3,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,,1,1,1,,,3,
,,,,,,,,3,,4,1,1,,,8,
,,,,,,,1,14,,15,3,3,,,43,
,,,,,,,,4,,4,1,1,,,6,
,,,,,,,,1,,1,,,,,2,
,,,,,,,,2,,2,1,1,,,3,
,,,,,,,,7,,7,2,2,,,11,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,,1,,,,,4,
,,,,,,,,1,,1,1,1,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,4,
,,,,,,,,2,,2,1,1,,,13,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,,1,6,6,,,7,
,,,,,,,,1,,1,1,1,,,2,
,,,,,,,,,,,1,1,,,6,
,,,,,,,1,,,1,,,,,3,
,,,,,,,1,2,,3,8,8,,,19,
,,,,,,,,1,,1,,,,,2,
,,,,,,,,1,,1,,,,,2,
,,,,,,,,,,,,,,,3,
,,,,,,,,2,,2,,,,,5,
,,,,,,,,2,,2,,,,,6,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,2,
,,,,,,,,1,,1,,,,,4,
,,,,,,,,,,,1,1,,,3,
,,,,,,,,,,,,,,,1,
,,,,,,,,7,,7,1,1,,,32,
,,,,,,,1,,,1,,,,,1,
,,,,,,,1,,,1,,,,,1,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,
