Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering      AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"29
82
29
75
21
48
32
103
39
141
113
44
38
259
58
198
71
82
46
128
17
71
53
226
19
46
8
54
36
31
32
3
12","31.8%
-6.8%
-9.4%
2.7%
-34.4%
-23.8%
-13.5%
-1.0%
-2.5%
0.0%
-35.8%
18.9%
2.7%
-1.5%
23.4%
-4.8%
-41.8%
28.1%
-11.5%
-13.5%
-5.6%
-6.6%
10.4%
-17.2%
72.7%
2.2%
14.3%
20.0%
28.6%
24.0%
-8.6%
50.0%
33.3%","33
26
11
9
35
5
90
115
73
0
5
10
0
52
0
129
20
14
74
1","-2.9%
4.0%
10.0%
125.0%
25.0%
-68.8%
-3.2%
0.9%
15.9%
-100.0%
66.7%
66.7%
-100.0%
-29.7%
-100.0%
2.4%
11.1%
7.7%
-14.0%
-50.0%","37
26
7
6
65
18
85
72
114
5
37
14
100
23
12
22","8.8%
23.8%
75.0%
0.0%
-5.8%
-14.3%
4.9%
-4.0%
-1.7%
25.0%
-14.0%
0.0%
16.3%
-14.8%
0.0%
-21.4%",,,"29
152
29
127
21
66
32
118
39
241
23
288
44
38
446
58
385
5
5
71
82
10
46
128
17
160
14
53
455
19
89
8
80
132
31
32
3
12
1","31.8%
-2.6%
-9.4%
6.7%
-34.4%
-14.3%
-13.5%
3.5%
-2.5%
1.3%
-37.8%
-17.7%
18.9%
2.7%
-1.3%
23.4%
-0.5%
0.0%
66.7%
-41.8%
28.1%
66.7%
-11.5%
-21.5%
-5.6%
-17.1%
-6.7%
10.4%
-6.2%
72.7%
-1.1%
14.3%
14.3%
-7.0%
24.0%
-8.6%
50.0%
33.3%
-50.0%",
,Subtotal,"2,244",-6.8%,702,-4.1%,643,0.3%,,,"3,589",-5.1%,
"G. Bush             BUSH
School of           INTA",,,,"29
56","-12.1%
93.1%",,,,,"29
56","-12.1%
93.1%",
Govt,Subtotal,,,85,37.1%,,,,,85,37.1%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
