Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,9,800.0%,30,7.1%,20,17.6%,,,50,11.1%,
,ENGS,,,,,,,,,9,800.0%,
,ENST,19,111.1%,,,,,,,19,111.1%,
,ESCI,0,-100.0%,,,,,,,0,-100.0%,
,GEOG,75,-1.3%,9,28.6%,7,-30.0%,,,91,-2.2%,
,GEOL,35,12.9%,19,-9.5%,15,50.0%,,,69,11.3%,
,GEOP,5,150.0%,7,-30.0%,9,12.5%,,,21,5.0%,
,GEOS,,,5,66.7%,,,,,5,66.7%,
,METR,44,15.8%,0,-100.0%,0,-100.0%,,,44,10.0%,
,OCNG,,,30,-9.1%,23,-14.8%,,,53,-11.7%,
,Subtotal,187,17.6%,100,-2.9%,74,1.4%,,,361,7.8%,
Liberal Arts,AMST,14,40.0%,,,,,,,14,40.0%,
,ANTH,50,0.0%,15,-16.7%,5,-50.0%,,,70,-10.3%,
,ECON,359,12.5%,14,-17.6%,26,52.9%,,,399,13.0%,
,ENGL,297,16.9%,14,27.3%,37,105.6%,,,348,23.0%,
,FREN,7,133.3%,,,,,,,7,133.3%,
,GERM,3,0.0%,,,,,,,3,0.0%,
,HIST,249,0.8%,8,14.3%,11,-8.3%,,,268,0.8%,
,INTS,133,9.0%,,,,,,,133,9.0%,
,JOUR,89,-49.7%,,,,,,,89,-49.7%,
,MODL,,,1,0.0%,,,,,1,0.0%,
,MUSC,4,-50.0%,,,,,,,4,-50.0%,
,PHIL,43,19.4%,4,-50.0%,2,100.0%,,,49,8.9%,
,POLS,440,1.9%,10,0.0%,46,17.9%,,,496,3.1%,
,PSYC,564,-2.9%,19,0.0%,37,-22.9%,,,620,-4.3%,
,RUSS,2,-71.4%,,,,,,,2,-71.4%,
,SCOM,305,5.5%,6,-33.3%,20,-4.8%,,,331,3.8%,
,SOCI,167,7.1%,16,45.5%,21,23.5%,,,204,10.9%,
,SPAN,48,54.8%,,,,,,,48,54.8%,
,STJR,,,8,14.3%,,,,,8,14.3%,
,TCMS,9,200.0%,,,,,,,9,200.0%,
,THAR,29,45.0%,,,,,,,29,45.0%,
,Subtotal,"2,812",2.3%,115,-2.5%,205,12.0%,,,"3,132",2.7%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
