Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Portugal,2,2,1,,5,
Romania,,4,9,,13,
Russia,3,8,17,,28,
Rwanda,,1,,,1,
Saint Kitts & Nevis,,,1,,1,
San Marino,,,1,,1,
Saudi Arabia,,5,7,,12,
Serbia,,3,2,,5,
Singapore,2,1,4,,7,
South Africa,,3,2,,5,
Spain,,2,1,,3,
Sri Lanka (Ceylon),,2,4,,6,
Suriname,,1,,,1,
Sweden,,,1,,1,
Switzerland,,,1,,1,
Syria,,1,1,,2,
Taiwan,10,19,41,,70,
Tanzania,,1,,,1,
Thailand,1,8,10,,19,
Trinidad & Tobago,1,1,,,2,
Tunisia,1,,,,1,
Turkey,6,13,38,,57,
Uganda,1,1,1,,3,
Ukraine,,2,3,,5,
United Arab Emirates,4,2,,,6,
United Kingdom,3,1,1,,5,
United States,"13,443","1,988","1,199",150,"16,780",
Uruguay,,2,1,,3,
Uzbekistan,,1,1,,2,
Venezuela,6,19,9,,34,
Viet Nam Socialist Republic,4,,5,,9,
Yemen,,1,,,1,
YUGOSLAVIA (OLD),,1,3,,4,
Zambia,,1,1,,2,
Zimbabwe (Rhodesia),,2,4,,6,
