Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Fall 2005,,,,,,,,,,,,
Enrollment Profile – Fall 2005 Official Certified 12th Class Day Data,,,,,,,,,,,,
Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"14,334",-1.1%,"1,208",-2.2%,600,-1.6%,336,0.0%,"16,478",-1.2%,
,Black,517,10.9%,84,7.7%,92,7.0%,0,-100.0%,693,9.7%,
,Hispanic,"1,947",11.4%,154,-5.5%,117,15.8%,22,0.0%,"2,240",10.2%,
,Asian,587,13.1%,54,3.8%,34,9.7%,12,20.0%,687,12.3%,
,American Indian,80,-11.1%,7,40.0%,5,150.0%,1,100.0%,93,-4.1%,
,International,154,-6.1%,392,-17.3%,434,-0.7%,,,980,-8.8%,
,Unknown/Other,45,-45.8%,25,-34.2%,16,14.3%,8,100.0%,94,-32.4%,
,Subtotal,"17,664",0.5%,"1,924",-5.9%,"1,298",1.3%,379,1.3%,"21,265",0.0%,
Male,White,"14,696",0.0%,"1,472",-0.1%,666,0.3%,118,-4.1%,"16,952",0.0%,
,Black,443,19.7%,72,44.0%,42,5.0%,3,50.0%,560,21.2%,
,Hispanic,"2,037",9.7%,167,0.6%,90,8.4%,8,14.3%,"2,302",8.9%,
,Asian,701,8.5%,79,2.6%,40,33.3%,4,33.3%,824,9.0%,
,American Indian,101,-1.9%,4,100.0%,6,20.0%,0,-100.0%,111,0.0%,
,International,359,-3.2%,908,-12.4%,"1,158",-1.4%,1,100.0%,"2,426",-6.0%,
,Unknown/Other,65,-45.4%,43,7.5%,29,16.0%,1,0.0%,138,-25.4%,
,Subtotal,"18,402",1.3%,"2,745",-3.5%,"2,031",0.4%,135,-1.5%,"23,313",0.6%,
Grand Total,,"36,066",0.9%,"4,669",-4.5%,"3,329",0.8%,514,0.6%,"44,578",0.3%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
