"Fall 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,161,-3.6%,1,0.0%,17,30.8%,5,150.0%,,0,-100.0%,20,-16.7%,,3,50.0%,207,-1.4%,
,38,46.2%,,,6,100.0%,4,33.3%,,,,,,,,,48,50.0%,
,165,0.6%,4,33.3%,19,-17.4%,2,0.0%,,3,100.0%,21,-4.5%,,2,-33.3%,216,-0.5%,
,146,-5.8%,1,0.0%,10,25.0%,4,33.3%,,1,0.0%,50,4.2%,,2,-33.3%,214,-2.3%,
,43,-4.4%,,,2,-33.3%,1,100.0%,,,,20,-20.0%,,,,66,-9.6%,
,553,-0.7%,6,20.0%,54,8.0%,16,60.0%,,4,100.0%,111,-6.7%,,7,-12.5%,751,0.0%,
,188,1.1%,,,16,-11.1%,3,0.0%,,0,-100.0%,16,6.7%,,4,0.0%,227,0.0%,
,360,19.2%,14,40.0%,87,11.5%,13,30.0%,,5,25.0%,5,-37.5%,,2,-50.0%,486,16.8%,
,792,8.9%,17,54.5%,76,15.2%,10,-9.1%,,2,-50.0%,14,40.0%,,4,-33.3%,915,9.6%,
,410,-10.3%,10,-23.1%,62,-18.4%,26,-3.7%,,0,-100.0%,85,-11.5%,,4,-42.9%,597,-11.9%,
,678,5.1%,28,33.3%,60,22.4%,16,60.0%,,5,-16.7%,28,7.7%,,5,-37.5%,820,7.2%,
,23,15.0%,1,0.0%,4,-20.0%,2,0.0%,,,,,,,1,0.0%,31,6.9%,
,81,8.0%,0,-100.0%,48,6.7%,1,100.0%,,,,2,0.0%,,,,132,7.3%,
,670,5.2%,13,85.7%,63,23.5%,9,80.0%,,2,0.0%,4,0.0%,,10,-23.1%,771,7.2%,
,0,-100.0%,0,-100.0%,0,-100.0%,0,-100.0%,,,,0,-100.0%,,0,-100.0%,0,-100.0%,
,104,-10.3%,4,100.0%,10,-52.4%,4,-20.0%,,,,4,-20.0%,,3,0.0%,129,-15.1%,
,837,-2.4%,27,-10.0%,128,18.5%,25,4.2%,,5,0.0%,18,-5.3%,,4,-20.0%,"1,044",-0.5%,
,75,-19.4%,3,-25.0%,15,-11.8%,,,,,,,,,,,93,-18.4%,
,989,-9.8%,48,-17.2%,187,12.7%,35,6.1%,,7,-12.5%,11,-42.1%,,6,-33.3%,"1,283",-7.7%,
,276,-0.4%,27,22.7%,64,30.6%,15,50.0%,,3,50.0%,19,11.8%,,2,-33.3%,406,6.8%,
,"5,483",-2.4%,192,4.3%,820,7.8%,159,12.0%,,29,-14.7%,206,-9.3%,,45,-30.8%,"6,934",-1.4%,
,"1,087",4.8%,58,9.4%,202,3.6%,159,16.1%,,8,-27.3%,44,-10.2%,,2,-71.4%,"1,560",4.8%,
,302,6.0%,19,46.2%,66,20.0%,37,19.4%,,4,33.3%,115,3.6%,,6,0.0%,549,8.9%,
,312,-6.0%,7,0.0%,41,41.4%,17,54.5%,,1,100.0%,46,-23.3%,,4,33.3%,428,-3.2%,
,122,6.1%,4,100.0%,21,75.0%,11,175.0%,,3,200.0%,92,-5.2%,,2,100.0%,255,9.9%,
,28,-6.7%,1,-66.7%,1,0.0%,3,50.0%,,,,44,10.0%,,1,0.0%,78,1.3%,
,"1,851",2.9%,89,14.1%,331,13.4%,227,22.7%,,16,6.7%,341,-4.5%,,15,-16.7%,"2,870",4.6%,
,"1,922",-3.0%,50,19.0%,310,7.3%,174,26.1%,,11,-35.3%,9,-35.7%,,13,-23.5%,"2,489",-0.4%,
,21,-22.2%,,,1,-50.0%,2,0.0%,,,,6,-62.5%,,,,30,-36.2%,
,5,150.0%,,,1,100.0%,,,,,,,,,,,6,200.0%,
,1,-50.0%,,,,,1,0.0%,,,,1,0.0%,,,,3,-25.0%,
,38,-5.0%,2,100.0%,5,25.0%,0,-100.0%,,,,19,18.8%,,1,-50.0%,65,3.2%,
,5,-28.6%,0,-100.0%,1,100.0%,1,-66.7%,,,,7,-65.0%,,0,-100.0%,14,-56.3%,
,"1,992",-3.3%,52,20.9%,318,7.8%,178,22.8%,,11,-35.3%,42,-37.3%,,14,-30.0%,"2,607",-1.5%,
,"2,985",-5.1%,127,-4.5%,543,1.7%,131,4.0%,,19,-5.0%,17,30.8%,,5,-50.0%,"3,827",-3.9%,
