"Fall 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
2
2
2
1
1
7
7
2
26
47
12
2
2
63
47
47
77
77
344","Sophomore
1
2
3
3
2
3
2
1
1
5
6
23
33
1
3
1
38
44
44
45
45
287","Junior
3
1
4
5
1
7
1
3
1
8
6
3
35
36
4
5
1
46
33
33
9
9
281","Senior
2
2
1
5
3
3
9
9
1
3
1
4
11
9
53
39
6
3
1
49
34
34
373","PB
3","Total
4
4
2
3
13
13
8
21
14
2
1
7
3
24
30
14
137
155
23
13
5
196
158
158
131
131
1,288",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,7,3,3,1,1,16,16,5,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,3,3,,,16,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,13,
,,,,,,,,,,2,2,,,10,
,,,,,,,,4,4,1,1,,,26,
,,,,,,,,1,1,1,1,,,16,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,9,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,25,
,,,,,,,,4,4,1,1,,,35,
,,,,,,,,1,1,,,,,15,
,,,,,,,,17,17,5,5,,,159,
,,,,,,,,2,2,2,2,,,159,
,,,,,,,,5,5,9,9,,,37,
,,,,,,,,2,2,2,2,,,17,
,,,,,,,,3,3,3,3,,,11,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,,14,14,17,17,,,227,
,,,,,,,,,,,,,,174,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,3,3,1,1,16,16,178,
,,,,,,,,,,,,,,131,
,,,,,,,,,,,,,,131,
,,,,,,,,8,8,6,6,,,14,
,,,,,,,,8,8,6,6,,,14,
,,,,,,,,126,133,74,74,16,16,"1,511",
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,
