"Fall 2005
Business                  ACCT
Admin                     AGBU BUAD BUAG EMBA FINC INFO MGMT MISY MKTG MLER
Subtotal
Education                CPSY EDAD EDCI EDHL EDIS EDKI EDSM EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPMT SPSY TECR
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
1
800
6
807
12
219
116
55
11
5
418","1st Time PB
1
1
1
1","1st Time Transfer
6
86
1
2
1
2
98
14
152
55
29
19
24
293","Readmitted
1
7
4
1
4
3
20
12
14
11
2
4
8
4
1
56","Continuing
625
8
869
8
532
158
363
569
3,132
194
518
543
160
131
1,111
292
278
94
27
3,348",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,2,101,1,27,4,3,10,,,775,
,,,,,,,,,,,,,,,9,
,,,,,,,77,,111,,,,,,"1,952",
,,,,,,,,,,,,,,,15,
,,,,,,,42,,,,,,,,42,
,,,,,,,93,,25,2,,6,,,662,
,,,,,,,,,1,,,8,,,170,
,,,,,,,14,,24,3,,15,,,424,
,,,,,,,81,,50,,,,,,131,
,,,,,,,19,,17,2,,14,,,627,
,,,,,,,30,,49,,,,,,79,
,,,,,,2,457,1,304,11,,53,,,"4,886",
,,,,,,,6,,,3,,30,,,39,
,,,,,,10,24,1,53,23,,183,,,297,
,,,,,,32,88,1,68,20,,145,,,354,
,,,,,,,,,,,,,,,232,
,,,,,,,,,,,,,,,903,
,,,,,,,,,,,,,,,725,
,,,,,,,,,,,,,,,246,
,,,,,,,5,,26,,,,,,31,
,,,,,,12,13,,35,7,2,98,,,167,
,,,,,,2,26,,48,6,2,83,,,167,
,,,,,,,4,,7,4,,18,,,33,
,,,,,,,,,,,,,,,131,
,,,,,,,,,,,,,,,"1,145",
,,,,,,,,,,,,,,,329,
,,,,,,2,27,,31,1,,21,,,365,
,,,,,,,,,1,,,6,,,7,
,,,,,,,,,,,,,,,95,
,,,,,,,11,,,,,35,,,46,
,,,,,,,,,,,,,,,27,
,,,,,,58,204,2,269,64,7,619,,,"5,339",
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,
