"Fall 2005
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
Classification                  Freshman Sophomore Junior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,Black,,,Hispanic,,,Asian,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,To,t,
,"2,727","2,716","5,443",134,122,256,520,481,"1,001",162,159,321,10,18,28,17,34,51,3,1,,4,"3,573","3,531",,"7,104",
,22,9,31,2,5,7,9,5,14,7,9,16,,,,3,4,7,,,,,43,32,,75,
,"2,704","2,700","5,404",132,117,249,511,475,986,155,149,304,10,18,28,14,28,42,3,1,,4,"3,529","3,488",,"7,017",
,1,5,6,,,,,,,,1,1,,,,,2,2,,,,,1,8,,9,
,,2,2,,,,,1,1,,,,,,,,,,,,,,,3,,3,
,"2,591","2,560","5,151",134,119,253,498,457,955,138,148,286,9,18,27,16,30,46,3,1,,4,"3,389","3,333",,"6,722",
,131,147,278,,3,3,22,24,46,23,11,34,1,,1,1,4,5,,,,,178,189,,367,
,5,9,14,,,,,,,1,,1,,,,,,,,,,,6,9,,15,
,"2,504","2,485","4,989",129,114,243,496,462,958,144,145,289,9,18,27,5,10,15,3,1,,4,"3,290","3,235",,"6,525",
,46,48,94,1,2,3,8,6,14,9,2,11,1,,1,11,19,30,,,,,76,77,,153,
,177,183,360,4,6,10,16,13,29,9,12,21,,,,1,5,6,,,,,207,219,,426,
,"2,631","2,573","5,204",131,116,247,515,473,988,151,149,300,9,18,27,,,,3,1,,4,"3,440","3,330",,"6,770",
,96,142,238,3,6,9,5,8,13,11,10,21,1,,1,,,,,,,,116,166,,282,
,,1,1,,,,,,,,,,,,,17,34,51,,,,,17,35,,52,
,132,163,295,,3,3,8,16,24,1,5,6,,3,3,,1,1,,,,,141,191,,332,
,7,11,18,1,,1,1,1,2,,,,,,,,,,,,,,9,12,,21,
,8,6,14,1,1,2,,,,,,,,,,,,,,,,,9,7,,16,
,"1,308","1,414","2,722",64,66,130,262,291,553,60,68,128,7,8,15,10,16,26,,1,,1,"1,711","1,864",,"3,575",
,"1,264","1,111","2,375",68,51,119,247,172,419,96,85,181,3,7,10,6,17,23,3,,,3,"1,687","1,443",,"3,130",
,8,11,19,,1,1,2,1,3,5,1,6,,,,1,,1,,,,,16,14,,30,
,132,163,295,,3,3,8,16,24,1,5,6,,3,3,,1,1,,,,,141,191,,332,
,7,11,18,1,,1,1,1,2,,,,,,,,,,,,,,9,12,,21,
,8,6,14,1,1,2,,,,,,,,,,,,,,,,,9,7,,16,
,"2,580","2,536","5,116",132,118,250,511,464,975,161,154,315,10,15,25,17,33,50,3,1,,4,"3,414","3,321",,"6,735",
,"1,213","1,637","2,850",55,72,127,195,238,433,93,107,200,6,11,17,13,29,42,2,1,,3,"1,577","2,095",,"3,672",
,"1,514","1,079","2,593",79,50,129,325,243,568,69,52,121,4,7,11,4,5,9,1,,,1,"1,996","1,436",,"3,432",
,"2,149","2,164","4,313",48,57,105,242,217,459,106,107,213,9,15,24,8,8,16,2,1,,3,"2,564","2,569",,"5,133",
,15,16,31,2,4,6,9,5,14,2,1,3,,,,9,22,31,,,,,37,48,,85,
,563,536,"1,099",84,61,145,269,259,528,54,51,105,1,3,4,,4,4,1,,,1,972,914,,"1,886",
,867,846,"1,713",17,40,57,90,101,191,34,43,77,2,1,3,4,11,15,1,,,1,"1,015","1,042",,"2,057",
,"1,860","1,870","3,730",117,82,199,430,380,810,128,116,244,8,17,25,13,23,36,2,1,,3,"2,558","2,489",,"5,047",
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,,,,,,,,,,,,
