Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Spring 2005,,,,,,,,,,,,
Enrollment Profile – Spring 2005 Official Certified 12th Class Day Data,,,,,,,,,,,,
Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"13,566",-0.4%,"1,110",-3.6%,602,2.0%,335,4.4%,"15,613",-0.4%,
,Black,441,4.0%,77,28.3%,89,17.1%,2,100.0%,609,8.8%,
,Hispanic,"1,649",7.5%,150,11.9%,106,29.3%,22,-18.5%,"1,927",8.4%,
,Asian,488,1.0%,52,36.8%,30,-11.8%,10,25.0%,580,3.0%,
,American Indian,79,-3.7%,4,0.0%,3,0.0%,0,-100.0%,86,-4.4%,
,International,153,-7.8%,385,-14.1%,439,6.8%,,,977,-4.7%,
,Unknown/Other,64,-43.9%,33,-10.8%,13,30.0%,4,-20.0%,114,-31.3%,
,Subtotal,"16,440",0.1%,"1,811",-3.3%,"1,282",6.3%,373,3.0%,"19,906",0.2%,
Male,White,"13,618",-1.3%,"1,338",-1.3%,678,-3.0%,123,-1.6%,"15,757",-1.4%,
,Black,360,4.7%,51,27.5%,39,18.2%,2,100.0%,452,8.1%,
,Hispanic,"1,741",7.5%,148,8.8%,84,20.0%,7,0.0%,"1,980",8.0%,
,Asian,603,4.7%,73,2.8%,32,18.5%,3,50.0%,711,5.2%,
,American Indian,97,7.8%,3,0.0%,6,20.0%,1,0.0%,107,8.1%,
,International,362,0.8%,832,-15.5%,"1,165",-0.3%,,,"2,359",-6.1%,
,Unknown/Other,97,-35.8%,33,-29.8%,26,23.8%,1,-66.7%,157,-29.3%,
,Subtotal,"16,878",-0.4%,"2,478",-6.0%,"2,030",0.3%,137,-1.4%,"21,523",-1.0%,
Grand Total,,"33,318",-0.1%,"4,289",-4.9%,"3,312",2.6%,510,1.8%,"41,429",-0.4%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
