"Spring 2005
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
1
3
3
7
2
1
3
11
11
1
2
4
7
4
1
1
3
4
2
1
1
1
18","1st Time PB
1
1
1
2
2
1
8
1
1
2
1
1
1
3
1
1
2","1st Time Transfer
29
29
14
10
3
7
2
3
11
3
11
5
14
7
8
156
16
19
4
39
1
1
27
60
81
168
8
3
3
4
11
29
22
3
15
3
4
105
3
2
10
5
20","Readmitted
1
14
4
3
3
11
1
1
2
3
3
4
1
2
4
2
59
2
4
1
7
1
5
2
2
4
5
19
8
15
11
34
1
1
4
10
7
6
4
4
1
3
41
1
1
1
3","Continuing
459
852
700
309
302
305
74
56
139
390
160
168
150
251
108
363
4,786
477
569
126
1,172
633
1,486
563
149
363
565
3,759
262
1,490
1,877
3,629
405
270
400
559
913
825
804
248
930
159
276
5,789
123
37
151
100
411",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,6,4,1,60,2,1,46,,601,
,,,,,,,13,,34,,,44,,993,
,,,,,,4,8,,98,1,,52,,883,
,,,,,,,1,,23,1,,19,,367,
,,,,,,,,,49,1,,95,,456,
,,,,,,,,,1,,,,,326,
,,,,,,,3,,25,1,,31,,137,
,,,,,,,2,,10,,,8,,77,
,,,,,,,1,,19,1,,25,,192,
,,,,,,,,,,,,,,408,
,,,,,,,,,5,,,18,,189,
,,,,,,2,1,,21,2,,18,,227,
,,,,,,1,2,,27,1,,24,,211,
,,,,,,1,5,,12,2,,35,,322,
,,,,,,,7,,55,2,,50,,233,
,,,,,,4,7,,89,2,,67,,542,
,,,,,,18,54,,528,16,,532,,"6,164",
,,,,,,3,2,,185,,,58,,746,
,,,,,,1,5,,60,,,,,659,
,,,,,,,2,,93,1,,48,,275,
,,,,,,4,9,,338,1,1,106,,"1,680",
,,,,,,,17,,115,,,14,,780,
,,,,,,1,,,178,,,,,"1,682",
,,,,,,,31,,153,,,10,,759,
,,,,,,,7,,99,,,10,,267,
,,,,,,,,,35,,,24,,426,
,,,,,,,4,,24,1,,14,,613,
,,,,,,1,59,,604,1,,72,,"4,527",
,,,,,,,,,,,,,,298,
,,,,,,11,18,,133,11,3,312,,489,
,,,,,,3,5,1,126,,2,158,,295,
,,,,,,2,8,,61,3,,49,,"1,691",
,,,,,,13,27,1,117,5,1,147,,"2,285",
,,,,,,29,58,3,437,19,6,666,,"5,058",
,,,,,,,7,,48,3,,41,,518,
,,,,,,1,3,,27,3,,26,,334,
,,,,,,,5,,49,2,,74,,535,
,,,,,,,,,,3,,19,,22,
,,,,,,1,6,,148,3,1,155,,884,
,,,,,,,15,,157,2,,119,,"1,228",
,,,,,,4,11,,149,3,1,178,,"1,211",
,,,,,,,,,14,,,,,848,
,,,,,,1,2,1,72,1,,54,,387,
,,,,,,3,12,,169,6,,124,,"1,265",
,,,,,,,8,,40,4,,28,,244,
,,,,,,2,8,2,95,2,,31,,423,
,,,,,,12,77,3,968,32,2,849,,"7,899",
,,,,,,29,,,151,,,,,180,
,,,,,,29,,,151,,,,,180,
,,,,,,,2,,30,1,,25,,186,
,,,,,,,,,1,,,,,40,
,,,,,,2,3,,24,,,24,,215,
,,,,,,1,5,1,58,1,,39,,212,
,,,,,,,2,,35,1,,28,,66,
,,,,,,3,12,1,148,3,,116,,719,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,
