"Spring 2005
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD Populations              COFD
MARB MARS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
3
1
2
1
1
2
5
15
8
1
1
10
6
6
14
14
91","1st Time PB
1
1
3
3
19","1st Time Transfer
5
13
32
23
12
4
2
11
3
36
30
11
182
25
3
3
31
16
16
26
26
744","Readmitted
1
2
5
6
13
9
3
8
2
12
6
67
8
8
9
9
33
33
280","Continuing
115
372
751
502
653
24
101
608
109
104
871
92
1,185
298
5,785
1,204
229
257
81
1,771
1,737
1,737
3,305
3,305
1
39
40
32,184",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,2,1,66,1,1,36,510,225,
,,,,,,,,,4,,,,,394,
,,,,,,1,,,16,,,35,,843,
,,,,,,,1,,47,,,57,,637,
,,,,,,,,,36,,1,72,,789,
,,,,,,,,,,,,,,29,
,,,,,,,2,,10,,,7,,122,
,,,,,,1,,,26,,1,42,,699,
,,,,,,,,,11,,,,,120,
,,,,,,,1,,21,,,7,,140,
,,,,,,1,,,10,,,57,,985,
,,,,,,,,,,,,,,94,
,,,,,,,,,23,,,58,,"1,314",
,,,,,,,,,27,2,,42,,386,
,,,,,,4,6,1,297,3,3,413,,"6,777",
,,,,,,,,,33,,,59,,"1,340",
,,,,,,,1,,116,1,,126,,476,
,,,,,,1,14,,67,,,62,,405,
,,,,,,,,,44,,,85,,211,
,,,,,,,2,,31,2,,37,,72,
,,,,,,1,17,,291,3,,369,,"2,504",
,,,,,,,,,,,,,,"2,278",
,,,,,,,3,,11,,,31,,45,
,,,,,,1,,,2,,,,,3,
,,,,,,,1,,4,,,,,5,
,,,,,,,3,,28,1,1,35,,68,
,,,,,,,,,10,,,21,,31,
,,,,,,1,7,,55,1,1,87,510,"2,430",
,,,,,,,,,,,,,,"3,378",
,,,,,,,,,,,,,,"3,378",
,,,,,,3,,,8,,,,,11,
,,,,,,,6,,16,,,10,,32,
,,,,,,,,,,,,,,1,
,,,,,,,,,3,,,,,3,
,,,,,,5,,,1,,,,,45,
,,,,,,6,,,15,,,,,21,
,,,,,,14,6,,43,,,10,,113,
,,,,,,116,305,8,"3,860",79,13,"3,220",510,"41,429",
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,
