"Spring 2005
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARB MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
2
1
8
2
1
3
3
3
12
12
35","Sophomore
1
1
2
2
7
7
30","Junior
1
1
2
3
1
1
3
1
11
3
3
1
1
46","Senior
1
1
3
1
1
1
4
1
1
14
1
1
5
5
64","PB
1","Total
1
1
1
4
4
1
6
2
6
6
3
33
6
1
1
8
11
11
19
19
176",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,1,1,2,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,6,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,3,3,,,36,
,,,,,,,,,,1,1,,,7,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,2,2,,,11,
,,,,,,,,,,,,,,12,
,,,,,,,,,,,,1,1,12,
,,,,,,,,,,,,,,19,
,,,,,,,,,,,,,,19,
,,,,,,,,6,7,9,9,1,1,193,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,
