Top 10,,,,,,,,
Feeder Patterns Undergraduate Transfer,,,,,,,,
Country,,Students  % Total,,,,,,
United States,,712,,,,95.7%,,
Bolivia,,3,,,,0.4%,,
Indonesia,,3,,,,0.4%,,
Venezuela,,3,,,,0.4%,,
Colombia,,2,,,,0.3%,,
Honduras,,2,,,,0.3%,,
Nigeria,,2,,,,0.3%,,
Pakistan,,2,,,,0.3%,,
United Kingdom,,2,,,,0.1%,,
Japan,,1,,,,0.0%,,
State,Students  % Total,,,,,,,
Texas,695,,93.4%,,,,,
Tennessee,3,,0.4%,,,,,
California,2,,0.3%,,,,,
Florida,2,,0.3%,,,,,
Oklahoma,2,,0.3%,,,,,
New Mexico,2,,0.3%,,,,,
Kansas,1,,0.1%,,,,,
Illinois,1,,0.1%,,,,,
Ohio,1,,0.1%,,,,,
Colorado,1,,0.1%,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,109,,14.7%,,,,
Brazos,,101,,13.6%,,,,
Bexar,,34,,4.6%,,,,
Tarrant,,32,,4.3%,,,,
Dallas,,29,,3.9%,,,,
Montgomery,,28,,3.8%,,,,
Fort Bend,,26,,3.5%,,,,
Travis,,22,,3.0%,,,,
Collin,,20,,2.7%,,,,
McLennan,,18,,2.4%,,,,
