"Summer 2005
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations    COFD SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,68,-6.8%,,,3,200.0%,1,100.0%,,,,19,5.6%,,2,0.0%,93,-1.1%,
,10,0.0%,,,2,100.0%,,,,,,,,,,,12,9.1%,
,66,-27.5%,1,-66.7%,12,9.1%,1,100.0%,,1,100.0%,15,150.0%,,0,-100.0%,96,-14.3%,
,58,-6.5%,,,3,-40.0%,1,0.0%,,1,0.0%,31,72.2%,,0,-100.0%,94,3.3%,
,31,-3.1%,,,2,100.0%,0,-100.0%,,,,15,-21.1%,,,,48,-9.4%,
,233,-13.1%,1,-66.7%,22,15.8%,3,50.0%,,2,100.0%,80,31.1%,,2,-71.4%,343,-5.0%,
,64,10.3%,,,6,0.0%,0,-100.0%,,0,-100.0%,4,300.0%,,3,50.0%,77,10.0%,
,121,22.2%,5,66.7%,44,33.3%,5,0.0%,,1,-66.7%,2,100.0%,,0,-100.0%,178,21.1%,
,275,-4.5%,7,40.0%,43,30.3%,4,100.0%,,1,0.0%,6,-14.3%,,3,-25.0%,339,-0.3%,
,224,-23.0%,5,-44.4%,28,-31.7%,13,-23.5%,,0,-100.0%,25,-28.6%,,4,-20.0%,299,-25.1%,
,239,-15.2%,11,-38.9%,28,12.0%,7,0.0%,,3,200.0%,5,-37.5%,,4,-42.9%,297,-14.7%,
,9,100.0%,,,3,100.0%,,,,,,,,,1,100.0%,13,100.0%,
,32,100.0%,,,21,100.0%,1,100.0%,,,,1,100.0%,,,,55,100.0%,
,249,5.1%,6,500.0%,28,33.3%,3,50.0%,,0,-100.0%,1,100.0%,,6,0.0%,293,9.3%,
,29,-63.8%,1,-66.7%,1,-85.7%,,,,,,2,-60.0%,,0,-100.0%,33,-66.0%,
,0,-100.0%,0,-100.0%,0,-100.0%,0,-100.0%,,,,,,,,,0,-100.0%,
,40,21.2%,,,6,-45.5%,0,-100.0%,,,,2,100.0%,,1,-66.7%,49,0.0%,
,364,-12.5%,12,0.0%,50,13.6%,9,28.6%,,4,0.0%,13,8.3%,,4,300.0%,456,-8.1%,
,30,15.4%,2,100.0%,5,-28.6%,,,,,,,,,,,37,12.1%,
,450,-9.1%,22,-24.1%,73,14.1%,12,-29.4%,,3,-25.0%,12,33.3%,,4,100.0%,576,-7.1%,
,125,-15.0%,17,30.8%,27,-15.6%,9,80.0%,,1,-50.0%,9,125.0%,,0,-100.0%,188,-7.8%,
,"2,251",-9.7%,88,-6.4%,363,6.1%,63,-4.5%,,13,-27.8%,82,-1.2%,,30,-16.7%,"2,890",-7.7%,
,339,5.6%,19,26.7%,48,-31.4%,47,14.6%,,3,200.0%,36,63.6%,,1,-50.0%,493,4.4%,
,162,18.2%,11,83.3%,27,3.8%,17,6.3%,,2,100.0%,102,2.0%,,6,20.0%,327,12.4%,
,128,-19.0%,4,100.0%,17,41.7%,8,-11.1%,,,,43,-20.4%,,4,33.3%,204,-13.6%,
,83,1.2%,2,0.0%,5,-37.5%,5,25.0%,,2,100.0%,76,-3.8%,,6,500.0%,179,1.1%,
,12,71.4%,,,1,0.0%,1,100.0%,,,,23,-34.3%,,1,100.0%,38,-11.6%,
,724,2.7%,36,56.5%,98,-16.2%,78,11.4%,,7,133.3%,280,-3.4%,,18,63.6%,"1,241",1.8%,
,569,-3.6%,9,-30.8%,70,0.0%,53,55.9%,,2,-60.0%,6,200.0%,,5,-37.5%,714,-1.1%,
,19,-9.5%,,,1,0.0%,2,100.0%,,,,4,-75.0%,,,,26,-31.6%,
,2,0.0%,,,1,100.0%,,,,,,,,,,,3,50.0%,
,0,-100.0%,,,,,,,,,,1,100.0%,,,,1,0.0%,
,33,-5.7%,,,4,100.0%,2,100.0%,,,,15,25.0%,,1,0.0%,55,7.8%,
,4,-55.6%,0,-100.0%,,,2,100.0%,,,,8,-52.9%,,0,-100.0%,14,-51.7%,
,627,-4.7%,9,-35.7%,76,4.1%,59,63.9%,,2,-60.0%,34,-27.7%,,6,-40.0%,813,-3.6%,
,474,-2.1%,56,19.1%,120,13.2%,33,57.1%,,4,33.3%,4,-42.9%,,3,50.0%,694,3.6%,
,474,-2.1%,56,19.1%,120,13.2%,33,57.1%,,4,33.3%,4,-42.9%,,3,50.0%,694,3.6%,
,1,-50.0%,,,,,,,,,,5,400.0%,,,,6,100.0%,
,62,675.0%,3,200.0%,7,250.0%,8,60.0%,,,,88,576.9%,,3,100.0%,171,489.7%,
,,,,,,,,,,,,1,100.0%,,,,1,100.0%,
,4,-20.0%,0,-100.0%,0,-100.0%,,,,,,2,100.0%,,1,100.0%,7,-12.5%,
,67,346.7%,3,0.0%,7,133.3%,8,60.0%,,,,96,585.7%,,4,100.0%,185,362.5%,
,"12,844",-6.4%,574,-0.3%,"1,689",1.9%,565,-2.4%,,90,13.9%,"2,162",-5.3%,,184,-0.5%,"18,108",-5.1%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,,,,,
