"Summer 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
2
1
1
5
4
4
13
13
31","Sophomore
3
1
4
6
1
7
11
11
16
16
69","Junior
3
1
2
2
1
1
2
4
3
19
16
4
2
22
12
12
4
4
131","Senior
1
1
2
2
1
8
4
2
4
4
6
31
21
2
1
24
23
23
218",PB,"Total
1
1
2
5
2
10
6
1
3
9
10
9
55
44
6
6
2
58
50
50
33
33
449",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,1,1,3,3,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,,,,,5,
,,,,,,,,,,2,2,,,4,
,,,,,,,,,,1,1,,,13,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,9,
,,,,,,,,2,2,,,,,12,
,,,,,,,,,,,,,,9,
,,,,,,,,4,4,4,4,,,63,
,,,,,,,,2,2,1,1,,,47,
,,,,,,,,5,5,6,6,,,17,
,,,,,,,,1,2,,,,,8,
,,,,,,,,,,3,3,,,5,
,,,,,,,,,,1,1,,,1,
,,,,,,,1,8,9,11,11,,,78,
,,,,,,,,,,,,,,53,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,3,3,3,3,3,3,59,
,,,,,,,,,,,,,,33,
,,,,,,,,,,,,,,33,
,,,,,,,,5,5,3,3,,,8,
,,,,,,,,5,5,3,3,,,8,
,,,,,,,5,60,65,48,48,3,3,565,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,
