Summer 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"25
95
13
68
21
34
10
46
18
86
2
112
22
19
246
35
89
1
6
60
39
5
34
90
7
59
5
59
273
7
48
6
36
35
12
0
0
8
1","19.0%
8.0%
-40.9%
1.5%
61.5%
-24.4%
-44.4%
-23.3%
-37.9%
-26.5%
-50.0%
-11.1%
-26.7%
-34.5%
-1.6%
-5.4%
-32.1%
100.0%
100.0%
25.0%
-40.0%
66.7%
-5.6%
-18.9%
16.7%
51.3%
-28.6%
25.5%
17.2%
-50.0%
6.7%
20.0%
-14.3%
-18.6%
-25.0%
-100.0%
-100.0%
-20.0%
0.0%","1
2
1
4
1
2
4
2
1
5
3
1
1
5
0
5
3
1
1
1
4
1
0
9
2
3
5
0
0
3
3
1
0
0","-50.0%
100.0%
100.0%
0.0%
100.0%
100.0%
300.0%
-60.0%
100.0%
-16.7%
-40.0%
-50.0%
0.0%
-28.6%
-100.0%
-37.5%
100.0%
-80.0%
-75.0%
100.0%
300.0%
-50.0%
-100.0%
80.0%
0.0%
100.0%
66.7%
-100.0%
-100.0%
50.0%
200.0%
0.0%
-100.0%
-100.0%","6
16
3
10
2
2
7
7
5
9
10
3
4
39
9
22
1
12
10
1
1
10
4
13
10
29
1
8
0
4
9
1
0
2
2","20.0%
166.7%
50.0%
66.7%
0.0%
0.0%
16.7%
-30.0%
25.0%
-52.6%
-23.1%
-50.0%
0.0%
-4.9%
200.0%
10.0%
0.0%
0.0%
150.0%
-50.0%
-75.0%
11.1%
100.0%
-23.5%
150.0%
0.0%
-66.7%
14.3%
-100.0%
-55.6%
50.0%
-80.0%
-100.0%
100.0%
100.0%","5
4
15
1
4
3
10
5
8
5
0
3
10
5
25
4
3
0
3
0
7
4
11
1
4
3
5
0
0
1","0.0%
0.0%
25.0%
-50.0%
-20.0%
200.0%
-23.1%
150.0%
-38.5%
-61.5%
-100.0%
50.0%
0.0%
0.0%
-19.4%
-20.0%
-57.1%
-100.0%
0.0%
-100.0%
-36.4%
100.0%
10.0%
0.0%
-42.9%
-25.0%
0.0%
-100.0%
-100.0%
100.0%","0
0
0
2
1
1
0
2
1
0","-100.0%
-100.0%
-100.0%
100.0%
100.0%
100.0%
-100.0%
0.0%
0.0%
-100.0%","52
1
27
1
19
1
30
6
89
13
106
0
117
7
177
4
0
0
1
3
2
0
75
2
2
157
3
23
29
82
5
0
0
0","2.0%
0.0%
-22.9%
-66.7%
58.3%
-75.0%
3.4%
100.0%
6.0%
-31.6%
-17.2%
-100.0%
-11.4%
-12.5%
-8.8%
-20.0%
-100.0%
-100.0%
-80.0%
0.0%
100.0%
-100.0%
-13.8%
-60.0%
100.0%
-9.8%
100.0%
-11.5%
26.1%
7.9%
-37.5%
-100.0%
-100.0%
-100.0%","1
2
2
0
0
1
0
2
3
7
0
5
1
7
2
1
0
0
5
1
1
0
1","0.0%
100.0%
0.0%
-100.0%
-100.0%
0.0%
-100.0%
0.0%
0.0%
100.0%
-100.0%
0.0%
100.0%
600.0%
100.0%
0.0%
-100.0%
-100.0%
25.0%
0.0%
-50.0%
-100.0%
100.0%","33
172
22
126
26
61
25
96
35
199
15
239
33
27
424
58
325
5
10
79
53
8
43
107
11
163
9
78
482
13
85
6
75
134
19
0
2
12
1","13.8%
13.2%
-24.1%
-0.8%
23.8%
-7.6%
-21.9%
-18.6%
-10.3%
-17.4%
-34.8%
-17.0%
-25.0%
-28.9%
-4.9%
0.0%
-15.6%
0.0%
100.0%
11.3%
-35.4%
-20.0%
-6.5%
-16.4%
-35.3%
1.9%
-35.7%
47.2%
5.9%
-31.6%
-4.5%
-25.0%
-6.3%
1.5%
-38.7%
-100.0%
-33.3%
0.0%
0.0%",
,Subtotal,"1,732",-7.8%,75,-9.6%,272,-1.4%,149,-17.2%,7,-30.0%,"1,034",-8.5%,42,31.3%,"3,311",-7.7%,
G. Bush,BUSH,21,0.0%,1,-50.0%,6,500.0%,0,-100.0%,1,100.0%,4,0.0%,1,100.0%,33,13.8%,
School of,INTA,58,34.9%,2,-33.3%,7,40.0%,1,-66.7%,,,1,0.0%,0,-100.0%,70,25.0%,
Govt,Subtotal,79,23.4%,3,-40.0%,13,116.7%,1,-75.0%,1,100.0%,5,0.0%,1,0.0%,103,21.2%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
