Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,313",8.4%,363,5.5%,365,-6.9%,,,"3,041",6.0%,
Gender,Female,"1,317",7.6%,138,-11.0%,110,3.8%,,,"1,565",5.4%,
,Male,996,9.5%,225,19.0%,255,-10.8%,,,"1,476",6.6%,
Ethnicity,White,"1,645",6.6%,181,0.6%,123,-3.9%,,,"1,949",5.3%,
,Black,83,9.2%,9,-10.0%,2,-33.3%,,,94,5.6%,
,Hispanic,313,9.8%,22,-15.4%,20,0.0%,,,355,7.3%,
,Asian,231,17.9%,17,21.4%,17,0.0%,,,265,16.7%,
,American Indian,12,9.1%,0,-100.0%,4,100.0%,,,16,0.0%,
,International,24,33.3%,131,22.4%,196,-9.3%,,,351,2.9%,
,Unknown/Other,5,0.0%,3,-25.0%,3,-50.0%,,,11,-26.7%,
TAMU Age,<18,9,-47.1%,,,,,,,9,-47.1%,
Categories,18-21,"1,943",9.8%,9,-18.2%,0,-100.0%,,,"1,952",9.6%,
,22-25,337,6.0%,179,1.1%,65,-14.5%,,,581,1.8%,
,26-30,15,-28.6%,114,17.5%,193,5.5%,,,322,7.0%,
,31-39,8,0.0%,42,10.5%,93,-20.5%,,,143,-12.3%,
,40+,1,0.0%,19,-9.5%,14,-6.7%,,,34,-8.1%,
Enrollment,1st Time in College,764,18.6%,,,,,,,764,18.6%,
Status,1st Time PB,3,0.0%,14,0.0%,,,,,17,0.0%,
,1st Time Graduate,,,117,-18.8%,36,20.0%,,,153,-12.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,92,21.1%,,,,,,,92,21.1%,
,Readmitted,14,75.0%,2,100.0%,2,100.0%,,,18,100.0%,
,Continuing,"1,440",2.6%,230,23.7%,327,-9.4%,,,"1,997",2.4%,
Tuition,Resident Tuition,"2,167",8.5%,130,-3.7%,69,-8.0%,,,"2,366",7.2%,
Status,Non-Resident Tuition,51,37.8%,20,53.8%,20,-42.9%,,,91,7.1%,
,Tuition  Exemption/Waiver,95,-5.0%,213,8.7%,276,-2.1%,,,584,1.0%,
Residency,Texas Resident,"2,201",8.3%,134,-3.6%,78,-2.5%,,,"2,413",7.2%,
Status,"Non-TX, US Resident",88,8.6%,98,1.0%,87,-1.1%,,,273,2.6%,
,"Non-TX, Non-US Resident",24,14.3%,131,21.3%,200,-10.7%,,,355,0.6%,
SCH,< 6 SCH,12,-29.4%,43,10.3%,18,-10.0%,,,73,-3.9%,
Categories,6-8 SCH,34,-10.5%,13,-35.0%,2,0.0%,,,49,-18.3%,
,9-11 SCH,72,-7.7%,302,10.2%,344,-6.0%,,,718,0.0%,
,12-14 SCH,"1,246",16.2%,5,-54.5%,0,-100.0%,,,"1,251",15.2%,
,15-17 SCH,906,2.4%,,,1,0.0%,,,907,2.4%,
,>17 SCH,43,-2.3%,,,,,,,43,-2.3%,
Ft/Pt:,Less Than Half Time,12,-7.7%,34,25.9%,17,0.0%,,,63,10.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","34
61","-2.9%
-11.6%",14,-51.7%,3,0.0%,,,"51
61","-23.9%
-11.6%",
,Full-Time,"2,206",9.4%,315,9.4%,345,-7.3%,,,"2,866",7.1%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
