"Fall 2006
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
79
47
105
32
94
8
6
8
6
65
3
8
7
9
8
45
530
114
54
19
187
862
862
7
32
215
198
452
278
130
214
185
250
208
67
105
309
72
156
1,974
40
7
14
16
77","1st Time PB
3
1
1
1
2
8
1
1
2
1
1
1
1
4
2
2","1st Time Transfer
60
62
72
14
6
18
4
1
9
40
5
15
16
33
4
22
381
31
36
11
78
5
46
4
2
6
4
67
36
21
112
112
281
18
12
35
15
36
34
41
14
46
2
16
269
6
1
12
13
32","Readmitted
3
30
8
5
4
25
2
4
5
1
4
4
2
3
100
8
4
2
14
1
7
3
1
3
3
18
10
1
16
17
44
2
1
4
12
12
6
7
1
6
3
3
57
1
2
9
3
15","Continuing
381
807
584
238
227
249
97
45
118
444
175
121
131
264
95
290
4,266
455
547
112
1,114
628
969
514
145
346
539
3,141
332
230
1,485
1,286
3,333
358
224
374
396
767
606
734
260
828
124
282
4,953
95
38
121
94
348",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,2,21,1,29,6,3,50,,,631,
,,,,,,5,33,,35,19,,41,,,"1,083",
,,,,,,3,20,,47,2,,33,,,874,
,,,,,,,8,,15,2,,19,,,333,
,,,,,,,20,1,23,2,,83,,,463,
,,,,,,,1,,4,1,,,,,307,
,,,,,,1,8,,13,,,29,,,158,
,,,,,,1,1,,7,3,,6,,,72,
,,,,,,,5,,11,3,1,15,,,171,
,,,,,,,,,,,,,,,553,
,,,,,,,5,,7,1,,10,,,211,
,,,,,,,3,,10,1,1,13,,,174,
,,,,,,3,10,,18,4,,15,,,208,
,,,,,,1,12,1,23,8,,36,,,391,
,,,,,,,8,,34,4,,22,,,177,
,,,,,,3,25,,73,3,,61,,,527,
,,,,,,19,180,3,349,59,5,433,,,"6,333",
,,,,,,2,58,,121,2,,36,,,827,
,,,,,,3,36,,45,,,,,,725,
,,,,,,,45,2,48,4,1,40,,,284,
,,,,,,5,139,2,214,6,1,76,,,"1,836",
,,,,,,,90,,35,3,,15,,,777,
,,,,,,1,127,,107,,,,,,"2,119",
,,,,,,1,103,,86,2,,10,,,723,
,,,,,,,84,1,82,1,,5,,,321,
,,,,,,,26,,13,4,,17,,,415,
,,,,,,,28,,20,1,,14,,,609,
,,,,,,2,458,1,343,11,,61,,,"4,964",
,,,,,,,,,,,,,,,385,
,,,,,,17,31,1,100,12,1,291,,,453,
,,,,,,4,43,,59,8,1,150,,,549,
,,,,,,3,43,,42,5,,47,,,"1,969",
,,,,,,46,59,4,93,20,2,158,,,"1,996",
,,,,,,70,176,5,294,45,4,646,,,"5,352",
,,,,,,,18,,45,4,,37,,,760,
,,,,,,,15,,27,1,,24,,,434,
,,,,,,,16,,52,14,1,64,,,775,
,,,,,,,,,1,1,2,18,,,22,
,,,,,,,57,1,93,13,1,136,,,909,
,,,,,,1,73,1,107,16,1,127,,,"1,392",
,,,,,,3,105,,98,26,1,158,,,"1,245",
,,,,,,,6,,21,,,,,,876,
,,,,,,1,39,,49,6,,55,,,530,
,,,,,,3,100,,117,22,,119,,,"1,551",
,,,,,,,28,,43,2,,36,,,311,
,,,,,,15,43,1,90,4,,48,,,658,
,,,,,,23,500,3,743,109,6,822,,,"9,463",
,,,,,,36,67,,96,,,,,,199,
,,,,,,36,67,,96,,,,,,199,
,,,,,,,14,,20,2,,26,,,206,
,,,,,,,,,,,,,,,48,
,,,,,,,13,,19,4,,25,,,217,
,,,,,,2,14,,29,1,1,35,,,208,
,,,,,,1,9,,25,3,,30,,,68,
,,,,,,3,50,,93,10,1,116,,,747,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,,
