"Fall 2006
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
5
1
2
2
10
1
1
15
15
11
11
101","Sophomore
1
2
1
4
8
2
1
3
2
2
19
19
85","Junior
1
1
2
4
2
1
7
3
2
1
6
1
1
10
10
114","Senior
1
1
2
5
1
1
1
1
11
5
5
2
2
3
3
186","PB
3","Total
1
3
4
1
7
3
11
1
1
1
1
1
27
13
5
2
4
24
4
4
17
17
43
43
489",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,3,3,20,20,,,24,
,,,,,,,,6,6,16,16,,,22,
,,,,,,,,15,17,22,22,,,42,
,,,,,,,1,7,8,17,17,,,25,
,,,,,,,3,31,34,75,75,,,113,
,,,,,,,1,6,7,9,9,,,17,
,,,,,,,,,,,,,,7,
,,,,,,,,3,3,5,5,,,11,
,,,,,,,,34,34,54,54,,,99,
,,,,,,,,3,3,27,27,,,30,
,,,,,,,,3,3,,,,,4,
,,,,,,,,,,2,2,,,3,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,15,15,,,16,
,,,,,,,,1,1,7,7,,,9,
,,,,,,,,2,2,7,7,,,10,
,,,,,,,1,53,54,127,127,,,208,
,,,,,,,,17,17,17,17,,,47,
,,,,,,,,49,49,54,54,,,108,
,,,,,,,1,9,10,37,37,,,49,
,,,,,,,,22,22,63,63,,,89,
,,,,,,,,33,33,25,25,,,58,
,,,,,,,1,130,131,196,196,,,351,
,,,,,,,,,,,,,,4,
,,,,,,,,2,2,7,7,,,9,
,,,,,,,,1,1,,,,,1,
,,,,,,,,5,5,13,13,,,18,
,,,,,,,,,,8,8,,,8,
,,,,,,,,8,8,28,28,,,40,
,,,,,,,,,,,,,,17,
,,,,,,,,,,,,,,17,
,,,,,,,7,,7,,,,,7,
,,,,,,,,51,51,91,91,,,142,
,,,,,,,18,,18,,,,,61,
,,,,,,,4,,4,,,,,4,
,,,,,,,29,51,80,91,91,,,214,
,,,,,,,45,"1,406","1,451","1,614","1,614",,,"3,554",
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,
