"Spring 2006
Science              APHY APMS BIOL BMCB BOTN CHEM GENE MATH MBIO MEPS PHYS PPHY STAT TOXI ZOOL
Subtotal
Veterinary         BIMS
Medicine           EPID GENE LAMD TOXI VMSC VPAR VPAT VPHY VTAN VTMD VTMI VTMS VTPH
Subtotal
General             GEST
Studies              TEAM
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,2,0.0%,,,2,100.0%,,,,,,2,-33.3%,,,,6,20.0%,
,58,-17.1%,0,-100.0%,2,-33.3%,6,-14.3%,,,,,,,1,100.0%,67,-18.3%,
,815,10.9%,41,0.0%,151,6.3%,124,14.8%,,4,0.0%,21,-27.6%,,0,-100.0%,"1,156",8.7%,
,48,20.0%,4,100.0%,6,-40.0%,10,42.9%,,,,0,-100.0%,,0,-100.0%,68,7.9%,
,3,-25.0%,,,1,100.0%,1,0.0%,,0,-100.0%,1,0.0%,,,,6,-14.3%,
,288,6.3%,18,20.0%,62,17.0%,33,22.2%,,3,0.0%,102,2.0%,,4,-33.3%,510,7.4%,
,0,-100.0%,,,,,,,,,,0,-100.0%,,,,0,-100.0%,
,210,-7.9%,4,-20.0%,33,32.0%,10,42.9%,,,,44,-18.5%,,3,-25.0%,304,-5.9%,
,57,-16.2%,3,0.0%,6,-57.1%,6,-25.0%,,1,0.0%,16,60.0%,,,,89,-14.4%,
,,,,,,,,,,,,0,-100.0%,,,,0,-100.0%,
,112,13.1%,4,100.0%,18,100.0%,10,100.0%,,2,100.0%,88,-1.1%,,1,0.0%,235,14.1%,
,0,-100.0%,,,,,,,,,,0,-100.0%,,,,0,-100.0%,
,21,-19.2%,0,-100.0%,1,0.0%,3,50.0%,,,,42,2.4%,,1,0.0%,68,-5.6%,
,0,-100.0%,,,,,,,,,,,,,,,0,-100.0%,
,67,-20.2%,,,8,14.3%,4,0.0%,,2,100.0%,1,100.0%,,1,0.0%,83,-14.4%,
,"1,681",3.1%,74,4.2%,290,9.8%,207,17.6%,,12,9.1%,317,-5.1%,,11,-38.9%,"2,592",3.5%,
,"1,269",-6.1%,35,-5.4%,231,0.9%,145,19.8%,,8,-27.3%,8,-20.0%,,3,-66.7%,"1,699",-3.9%,
,8,166.7%,,,1,0.0%,1,0.0%,,,,,,,,,10,100.0%,
,0,-100.0%,,,,,0,-100.0%,,,,0,-100.0%,,0,-100.0%,0,-100.0%,
,3,50.0%,,,,,,,,,,,,,,,3,50.0%,
,0,-100.0%,0,-100.0%,,,0,-100.0%,,,,1,-94.4%,,0,-100.0%,1,-96.9%,
,8,100.0%,,,1,0.0%,,,,,,1,-50.0%,,,,10,42.9%,
,2,0.0%,,,,,,,,,,,,,,,2,0.0%,
,7,16.7%,,,1,100.0%,,,,,,6,20.0%,,,,14,27.3%,
,5,25.0%,,,1,100.0%,1,0.0%,,,,6,-25.0%,,,,13,0.0%,
,10,25.0%,,,,,2,100.0%,,,,7,40.0%,,,,19,35.7%,
,452,-1.3%,4,0.0%,30,3.4%,16,23.1%,,1,0.0%,,,,6,20.0%,509,-0.2%,
,25,0.0%,2,100.0%,4,0.0%,1,0.0%,,,,11,-8.3%,,2,100.0%,45,4.7%,
,1,-50.0%,,,,,1,0.0%,,,,,,,,,2,-33.3%,
,2,-33.3%,,,,,,,,1,100.0%,,,,,,3,0.0%,
,"1,792",-5.1%,41,-2.4%,269,1.9%,167,17.6%,,10,-16.7%,40,-37.5%,,11,-35.3%,"2,330",-4.1%,
,"2,061",-7.4%,108,-6.1%,442,-2.4%,113,0.9%,,21,23.5%,17,30.8%,,6,-14.3%,"2,768",-5.9%,
,388,0.5%,4,300.0%,36,-2.7%,8,0.0%,,3,50.0%,0,-100.0%,,,,439,0.9%,
,"2,449",-6.2%,112,-3.4%,478,-2.4%,121,0.8%,,24,26.3%,17,21.4%,,6,-14.3%,"3,207",-5.1%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,,,,,
