FTIC Students,,,,,,,,,
Top 10,,,,,,,,,
Feeder Patterns First Time In College,,,,,,,,,
State,Students  % Total,,,,,,,,
Texas,77,,,81.1%,,,,,
California,2,,,2.1%,,,,,
Wyoming,1,,,1.1%,,,,,
Louisiana,1,,,1.1%,,,,,
Country,,Students  % Total,,,,,,,
United States,,81,,,,86.3%,,,
India,,2,,,,2.1%,,,
Serbia,,1,,,,1.1%,,,
Qatar,,1,,,,1.1%,,,
Pakistan,,1,,,,1.1%,,,
Kenya,,1,,,,1.1%,,,
Kazakhstan,,1,,,,1.1%,,,
Equatorial Guinea,,1,,,,1.1%,,,
Ecuador,,1,,,,1.1%,,,
Cayman Islands,,1,,,,1.1%,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,,15,,15.8%,,,,
Tarrant,,,6,,6.3%,,,,
Bexar,,,5,,5.3%,,,,
Brazos,,,5,,5.3%,,,,
Travis,,,5,,5.3%,,,,
Montgomery,,,4,,4.2%,,,,
Collin,,,3,,3.2%,,,,
Dallas,,,3,,3.2%,,,,
Hidalgo,,,3,,3.2%,,,,
Williamson,,,3,,3.2%,,,,
