Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,,,,1,
Albania,,1,,,1,
Algeria,,,1,,1,
Angola,,1,,,1,
Antigua and Barbuda,,,1,,1,
Argentina,2,4,8,,14,
Armenia,,2,2,,4,
Australia,3,2,,,5,
Austria,,1,2,,3,
Azerbaijan,,5,,,5,
Bahrain,,2,,,2,
Bangladesh,9,10,7,,26,
Barbados,,1,,,1,
Belarus,,1,4,,5,
Belgium,1,,,,1,
Belize (British Honduras),1,1,,,2,
Bolivia,11,1,1,,13,
Bosnia-Herzegovina,2,,,,2,
Botswana,,,2,,2,
Brazil,5,11,13,,29,
British Virgin Islands,,1,,,1,
Bulgaria,,1,6,,7,
Burma (Myanmar),,,1,,1,
Cambodia  (Kampuchea),,1,,,1,
Cameroon,3,1,1,,5,
Canada,18,15,24,,57,
Cayman Islands,1,,,,1,
Chile,,4,8,,12,
"China, People's Rep of",17,182,375,,574,
Colombia,6,24,26,,56,
Costa Rica,6,,1,,7,
Cote d'Ivoire (Ivory Coast),1,1,1,,3,
Croatia,1,,,,1,
Czech Republic,,2,1,,3,
Denmark,,4,1,,5,
Dominica,,,1,,1,
Dominican Republic,2,1,2,,5,
Ecuador,10,11,4,,25,
Egypt (A.R.E.),,,19,,19,
El Salvador,2,4,,,6,
Equatorial Guinea,4,,,,4,
Eritrea,1,,1,,2,
Estonia,1,,,,1,
Ethiopia,1,2,1,,4,
France,16,13,8,,37,
Georgia (C.I.S.),,1,2,,3,
