"Summer 2006
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
3
1
1
2
1
1
9
1
1
8
8
8
1
9
1
1
3
1
1
2
1
3
13
2
1
3","1st Time PB
1
1
2
1
1
1
1","1st Time Transfer
8
14
5
3
1
2
3
2
3
6
1
48
2
2
1
5
18
1
2
1
22
7
4
22
16
49
3
2
2
2
1
3
3
2
2
3
23
1
1
6
3
1
1
2
7
3
25","Readmitted
1
7
3
1
2
12
1
1
1
1
30
2
2
1
2
2
4
9
1
5
9
15
2
3
1
1
2
1
1
11
5
1
6
2
2
4
2
7
1
6
24","Continuing
192
468
290
110
122
194
43
14
69
242
102
59
51
135
36
139
2,266
173
368
23
564
374
245
260
80
211
312
1,482
258
117
855
596
1,826
128
108
135
159
330
283
295
121
297
60
57
1,973
35
13
70
44
162
50
172
288
208
290
9
46
243
36
383
24
420
137
2,306",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,2,3,1,23,2,1,42,,,271,
,,,,,,,8,,28,1,,27,,,558,
,,,,,,,1,,34,1,,27,,,362,
,,,,,,,,,16,,,16,,,147,
,,,,,,,3,,23,,,84,,,235,
,,,,,,,,,5,,,,,,213,
,,,,,,,,,14,,,30,,,88,
,,,,,,,,,7,1,,6,,,28,
,,,,,,,,,11,1,,16,,,100,
,,,,,,,,,,,,,,,245,
,,,,,,,1,,7,,,14,,,125,
,,,,,,,,,8,,,16,,,86,
,,,,,,,2,,17,1,,12,,,87,
,,,,,,,,,13,,,19,,,173,
,,,,,,,1,,24,,,22,,,85,
,,,,,,1,1,,69,,,41,,,254,
,,,,,,3,20,,299,7,1,372,,,"3,057",
,,,,,,1,11,,101,,,21,,,312,
,,,,,,,,,31,,,,,,401,
,,,,,,,1,,42,,,21,,,89,
,,,,,,1,12,1,174,,,42,,,802,
,,,,,,,54,,36,2,,15,,,481,
,,,,,,,3,,30,,,,,,305,
,,,,,,,56,,89,1,,10,,,419,
,,,,,,,21,1,77,,,6,,,185,
,,,,,,,8,,8,2,,20,,,253,
,,,,,,,5,,22,1,,13,,,358,
,,,,,,,147,1,262,6,,64,,,"2,001",
,,,,,,,,,,,,,,,266,
,,,,,,2,17,,65,7,1,234,,,326,
,,,,,,,14,,83,1,,97,,,316,
,,,,,,1,5,,44,,,48,,,988,
,,,,,,4,44,4,131,1,1,119,,,926,
,,,,,,7,80,4,323,9,2,498,,,"2,822",
,,,,,,,4,,40,1,,32,,,211,
,,,,,,,,,26,,,21,,,158,
,,,,,,,1,,39,,,68,,,251,
,,,,,,,,,1,,,14,,,15,
,,,,,,,1,1,67,,1,112,,,345,
,,,,,,,3,,92,3,1,105,,,537,
,,,,,,1,2,,69,3,1,117,,,481,
,,,,,,,,,,,,,,,300,
,,,,,,1,2,,42,1,,48,,,218,
,,,,,,,4,,95,,,102,,,501,
,,,,,,,1,,22,,,21,,,105,
,,,,,,10,4,1,78,1,,42,,,200,
,,,,,,12,22,2,571,9,3,682,,,"3,322",
,,,,,,5,,,37,,,,,,42,
,,,,,,5,,,37,,,,,,42,
,,,,,,,,,21,,,25,,,81,
,,,,,,,,,,,,,,,13,
,,,,,,,3,,9,,,10,,,97,
,,,,,,,1,,24,,,25,,,95,
,,,,,,2,1,,28,,,21,,,52,
,,,,,,2,5,,82,,,81,,,338,
,,,,,,,,,20,,,12,,,83,
,,,,,,,,,1,,,,,,174,
,,,,,,1,,,11,,1,28,,,337,
,,,,,,,15,,10,8,,29,,,273,
,,,,,,,,,10,,,41,,,344,
,,,,,,,,,,,,,,,9,
,,,,,,,,,1,,,3,,,51,
,,,,,,,,,15,1,,15,,,281,
,,,,,,,,,6,,,5,,,49,
,,,,,,,,,4,,,53,,,449,
,,,,,,,,,,,,,,,25,
,,,,,,,,,29,,,44,,,507,
,,,,,,,,,8,,,23,,,171,
,,,,,,1,15,,115,9,1,253,,,"2,753",
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,
