"Summer 2006
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations    COFD SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,54,-20.6%,,,5,66.7%,0,-100.0%,,,,20,5.3%,,2,0.0%,81,-12.9%,
,11,10.0%,,,1,-50.0%,1,100.0%,,,,,,,,,13,8.3%,
,79,19.7%,3,200.0%,5,-58.3%,3,200.0%,,1,0.0%,6,-60.0%,,,,97,1.0%,
,58,0.0%,,,6,100.0%,1,0.0%,,0,-100.0%,29,-6.5%,,1,100.0%,95,1.1%,
,32,3.2%,,,2,0.0%,1,100.0%,,,,17,13.3%,,,,52,8.3%,
,234,0.4%,3,200.0%,19,-13.6%,6,100.0%,,1,-50.0%,72,-10.0%,,3,50.0%,338,-1.5%,
,67,4.7%,1,100.0%,9,50.0%,2,100.0%,,,,3,-25.0%,,1,-66.7%,83,7.8%,
,118,-2.5%,7,40.0%,40,-9.1%,6,20.0%,,1,0.0%,1,-50.0%,,1,100.0%,174,-2.2%,
,284,3.3%,9,28.6%,29,-32.6%,3,-25.0%,,1,0.0%,6,0.0%,,5,66.7%,337,-0.6%,
,173,-22.8%,4,-20.0%,29,3.6%,18,38.5%,,1,100.0%,45,80.0%,,3,-25.0%,273,-8.7%,
,285,19.2%,15,36.4%,22,-21.4%,8,14.3%,,2,-33.3%,10,100.0%,,2,-50.0%,344,15.8%,
,8,-11.1%,,,0,-100.0%,,,,,,,,,1,0.0%,9,-30.8%,
,27,-15.6%,,,24,14.3%,0,-100.0%,,,,0,-100.0%,,,,51,-7.3%,
,253,1.6%,5,-16.7%,18,-35.7%,2,-33.3%,,1,100.0%,0,-100.0%,,2,-66.7%,281,-4.1%,
,0,-100.0%,0,-100.0%,0,-100.0%,,,,,,0,-100.0%,,,,0,-100.0%,
,39,-2.5%,,,5,-16.7%,1,100.0%,,,,2,0.0%,,2,100.0%,49,0.0%,
,354,-2.7%,15,25.0%,48,-4.0%,11,22.2%,,1,-75.0%,14,7.7%,,6,50.0%,449,-1.5%,
,15,-50.0%,4,100.0%,6,20.0%,,,,,,,,,,,25,-32.4%,
,401,-10.9%,17,-22.7%,61,-16.4%,14,16.7%,,3,0.0%,10,-16.7%,,1,-75.0%,507,-12.0%,
,114,-8.8%,11,-35.3%,32,18.5%,7,-22.2%,,1,0.0%,5,-44.4%,,1,100.0%,171,-9.0%,
,"2,138",-5.0%,88,0.0%,323,-11.0%,72,14.3%,,11,-15.4%,96,17.1%,,25,-16.7%,"2,753",-4.7%,
,334,-1.5%,16,-15.8%,45,-6.3%,56,19.1%,,4,33.3%,27,-25.0%,,3,200.0%,485,-1.6%,
,157,-3.1%,8,-27.3%,31,14.8%,18,5.9%,,3,50.0%,93,-8.8%,,13,116.7%,323,-1.2%,
,111,-13.3%,2,-50.0%,14,-17.6%,9,12.5%,,,,35,-18.6%,,1,-75.0%,172,-15.7%,
,50,-39.8%,2,0.0%,11,120.0%,5,0.0%,,2,0.0%,76,0.0%,,9,50.0%,155,-13.4%,
,15,25.0%,,,2,100.0%,2,100.0%,,,,28,21.7%,,1,0.0%,48,26.3%,
,667,-7.9%,28,-22.2%,103,5.1%,90,15.4%,,9,28.6%,259,-7.5%,,27,50.0%,"1,183",-4.7%,
,484,-14.9%,18,100.0%,72,2.9%,61,15.1%,,4,100.0%,1,-83.3%,,20,300.0%,660,-7.6%,
,23,21.1%,,,1,0.0%,3,50.0%,,1,100.0%,7,75.0%,,,,35,34.6%,
,4,100.0%,,,1,0.0%,,,,,,,,,,,5,66.7%,
,,,,,,,,,,,,1,0.0%,,,,1,0.0%,
,25,-24.2%,3,100.0%,7,75.0%,0,-100.0%,,,,14,-6.7%,,1,0.0%,50,-9.1%,
,5,25.0%,1,100.0%,,,1,-50.0%,,,,8,0.0%,,2,100.0%,17,21.4%,
,541,-13.7%,22,144.4%,81,6.6%,65,10.2%,,5,150.0%,31,-8.8%,,23,283.3%,768,-5.5%,
,487,2.7%,55,-1.8%,97,-19.2%,28,-15.2%,,8,100.0%,6,50.0%,,1,-66.7%,682,-1.7%,
,487,2.7%,55,-1.8%,97,-19.2%,28,-15.2%,,8,100.0%,6,50.0%,,1,-66.7%,682,-1.7%,
,1,0.0%,,,1,100.0%,,,,,,0,-100.0%,,,,2,-66.7%,
,108,74.2%,3,0.0%,9,28.6%,9,12.5%,,,,113,28.4%,,3,0.0%,245,43.3%,
,,,,,,,,,,,,6,500.0%,,,,6,500.0%,
,5,25.0%,,,1,100.0%,,,,,,2,0.0%,,0,-100.0%,8,14.3%,
,114,70.1%,3,0.0%,11,57.1%,9,12.5%,,,,121,26.0%,,3,-25.0%,261,41.1%,
,"12,684",-1.2%,616,7.3%,"1,719",1.8%,621,9.9%,,82,-8.9%,"2,131",-1.4%,,178,-3.3%,"18,031",-0.4%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,,,,
