Summer 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,46,2.2%,2,100.0%,9,28.6%,4,100.0%,1,0.0%,38,8.6%,1,-75.0%,100,6.4%,
,COMG,9,-47.1%,1,0.0%,2,100.0%,2,0.0%,,,17,-5.6%,,,31,-18.4%,
,COSC,236,2.6%,3,50.0%,26,23.8%,3,-25.0%,,,0,-100.0%,2,100.0%,271,4.2%,
,COSL,86,-5.5%,1,-50.0%,10,0.0%,1,0.0%,0,-100.0%,,,1,0.0%,99,-6.6%,
,ENDL,46,-23.3%,1,-50.0%,11,22.2%,7,250.0%,0,-100.0%,2,100.0%,1,100.0%,68,-9.3%,
,ENDS,89,2.3%,1,-66.7%,14,-17.6%,4,33.3%,0,-100.0%,2,100.0%,,,110,-1.8%,
,LAND,18,5.9%,1,0.0%,2,-33.3%,,,0,-100.0%,3,-57.1%,,,24,-17.2%,
,LANL,14,55.6%,,,3,200.0%,,,,,,,,,17,70.0%,
,LDEV,7,-22.2%,1,100.0%,2,100.0%,1,100.0%,,,2,-60.0%,2,100.0%,15,0.0%,
,URPL,3,-62.5%,0,-100.0%,0,-100.0%,,,,,8,0.0%,1,100.0%,12,-33.3%,
,URSC,5,-16.7%,1,100.0%,1,100.0%,,,,,13,0.0%,1,0.0%,21,5.0%,
,VIZA,20,-4.8%,1,100.0%,4,33.3%,4,-33.3%,,,5,-16.7%,,,34,-5.6%,
,Subtotal,579,-3.5%,13,0.0%,84,15.1%,26,30.0%,1,-83.3%,90,-4.3%,9,28.6%,802,-1.4%,
Business,ACCT,410,-8.5%,3,-70.0%,29,20.8%,26,30.0%,2,0.0%,9,-30.8%,2,0.0%,481,-7.3%,
Admin,AGBU,4,0.0%,,,1,0.0%,,,,,,,,,5,0.0%,
,BUAD,231,10.0%,8,100.0%,27,50.0%,12,50.0%,2,0.0%,18,38.5%,1,0.0%,299,16.8%,
,BUAG,1,0.0%,,,,,,,,,,,,,1,0.0%,
,FINC,314,-5.7%,6,50.0%,22,37.5%,12,50.0%,3,200.0%,15,36.4%,0,-100.0%,372,-0.8%,
,INFO,66,10.0%,3,100.0%,5,-16.7%,2,-50.0%,2,-33.3%,7,-30.0%,2,100.0%,87,3.6%,
,MGMT,204,-9.7%,7,-12.5%,23,9.5%,12,33.3%,0,-100.0%,6,-40.0%,1,0.0%,253,-8.3%,
,MISY,45,125.0%,0,-100.0%,3,100.0%,5,400.0%,,,45,15.4%,,,98,58.1%,
,MKTG,305,4.5%,3,-50.0%,25,31.6%,10,0.0%,1,-50.0%,13,0.0%,1,100.0%,358,4.7%,
,MLER,39,-15.2%,0,-100.0%,2,-50.0%,,,,,1,0.0%,5,150.0%,47,-13.0%,
,Subtotal,"1,619",-1.3%,30,-14.3%,137,25.7%,79,31.7%,10,-9.1%,114,3.6%,12,33.3%,"2,001",1.4%,
Education,CPSY,18,-5.3%,3,-40.0%,4,-20.0%,2,100.0%,,,2,-33.3%,0,-100.0%,29,-14.7%,
,EDAD,139,-0.7%,14,-39.1%,38,-19.1%,,,2,0.0%,5,0.0%,3,-50.0%,201,-9.9%,
,EDCI,215,5.4%,29,-14.7%,30,15.4%,7,75.0%,,,18,5.9%,5,25.0%,304,5.2%,
,EDHL,47,-27.7%,6,50.0%,4,-55.6%,1,-75.0%,2,100.0%,1,100.0%,,,61,-25.6%,
,EDIS,193,17.0%,8,100.0%,18,-14.3%,3,50.0%,1,0.0%,,,1,100.0%,224,16.1%,
,EDKI,159,-21.3%,16,23.1%,20,5.3%,5,0.0%,1,-50.0%,0,-100.0%,,,201,-16.9%,
,EDSM,100,75.4%,10,100.0%,12,20.0%,2,100.0%,,,1,0.0%,1,0.0%,126,70.3%,
,EDTC,5,-66.7%,0,-100.0%,3,50.0%,1,100.0%,,,3,200.0%,,,12,-36.8%,
,EHRD,68,-1.4%,13,0.0%,25,38.9%,1,-50.0%,,,17,88.9%,1,0.0%,125,11.6%,
,EPSY,85,23.2%,6,50.0%,19,0.0%,0,-100.0%,,,16,6.7%,1,100.0%,127,17.6%,
,HEED,12,-25.0%,6,-25.0%,1,0.0%,1,100.0%,,,3,0.0%,2,100.0%,25,-13.8%,
,HLTH,134,50.6%,7,600.0%,15,114.3%,4,100.0%,,,1,100.0%,1,0.0%,162,65.3%,
,INST,431,-8.1%,8,-11.1%,68,15.3%,6,0.0%,1,-80.0%,,,0,-100.0%,514,-6.5%,
,ISNC,215,20.1%,14,27.3%,29,16.0%,6,50.0%,0,-100.0%,2,100.0%,,,266,20.4%,
,KINE,249,-15.0%,7,75.0%,23,-8.0%,7,16.7%,1,0.0%,10,-28.6%,3,50.0%,300,-13.0%,
,PHED,3,50.0%,,,,,,,,,1,0.0%,,,4,33.3%,
,SPMT,96,88.2%,1,-50.0%,12,500.0%,,,,,,,,,109,98.2%,
,SPSY,11,-38.9%,6,0.0%,6,-14.3%,4,33.3%,,,0,-100.0%,0,-100.0%,27,-25.0%,
,TECR,5,-28.6%,,,0,-100.0%,,,,,,,,,5,-44.4%,
,Subtotal,"2,185",2.6%,154,4.8%,327,7.6%,50,31.6%,8,-33.3%,80,11.1%,18,-10.0%,"2,822",3.7%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,,,
