Office of Institutional Studies and Planning,,,,,
Student Recipients of Regent Scholars Award by Gender,,,,,
Fall 2007,,,,,
Official Certified 12th Class Day Data,,,,,
Fall 2007,,Gender,,Grand Total,
,,Female,Male,,
Headcount Total,,781,642,"1,423",
Ethnicity,White,270,195,465,
,Black,105,59,164,
,Hispanic,350,319,669,
,Asian,49,64,113,
,American Indian,5,3,8,
,International,1,1,2,
,Unknown/Other,1,1,2,
TAMU Age,18-21,685,539,"1,224",
Categories,22-25,96,102,198,
,26-30,,1,1,
College,Agriculture,129,91,220,
,Architecture,14,26,40,
,Business Admin,100,61,161,
,Education,104,34,138,
,Engineering,48,198,246,
,Geosciences,7,6,13,
,Liberal Arts,163,95,258,
,Science,69,34,103,
,Veterinary Medicine,57,28,85,
,General Studies,90,69,159,
Enrollment Status,1st Time Graduate,,1,1,
,Readmitted,6,3,9,
,Continuing,775,638,"1,413",
Tuition Status,Resident Tuition,778,640,"1,418",
,Non-Resident Tuition,1,,1,
,Tuition  Exemption/Waiver,2,2,4,
Residency Status,Texas Resident,780,641,"1,421",
,"Non-TX, Non-US Resident",1,1,2,
SCH Categories,< 6 SCH,1,2,3,
,6-8 SCH,5,4,9,
,9-11 SCH,4,,4,
,12-14 SCH,448,356,804,
,15-17 SCH,291,262,553,
,>17 SCH,32,18,50,
Ft/Pt: TAMU,Less Than Half Time,,1,1,
Status,Half-Time,3,,3,
,Three-Quarter Time,4,,4,
,Full-Time,774,641,"1,415",
Top 10% Texas,No,225,259,484,
High School,Yes,556,383,939,
First Generation,No,11,14,25,
Undergraduates,Unknown,9,11,20,
,Yes,761,617,"1,378",
"Prepared by OISP, 13 Nov 07",,,,,
