"Fall 2007
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD
Populations    COFD MARB MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,144,-10.6%,2,0.0%,20,33.3%,1,-50.0%,,,,22,-8.3%,,3,50.0%,192,-6.8%,
,48,11.6%,,,3,0.0%,2,0.0%,,,,,,,1,100.0%,54,12.5%,
,145,-13.2%,3,-25.0%,11,-15.4%,7,16.7%,,2,-33.3%,27,22.7%,,2,0.0%,197,-9.2%,
,174,18.4%,1,100.0%,14,0.0%,4,100.0%,,2,0.0%,41,-2.4%,,1,0.0%,237,13.9%,
,40,5.3%,1,100.0%,4,0.0%,1,0.0%,,,,28,12.0%,,,,74,8.8%,
,551,-0.9%,7,16.7%,52,6.1%,15,15.4%,,4,-20.0%,118,4.4%,,7,40.0%,754,0.9%,
,187,-2.1%,3,50.0%,23,0.0%,7,-12.5%,,2,100.0%,18,5.9%,,4,0.0%,244,-0.8%,
,380,6.1%,11,10.0%,89,0.0%,17,-19.0%,,4,100.0%,5,-28.6%,,2,-50.0%,508,3.5%,
,920,6.7%,23,35.3%,86,2.4%,14,27.3%,,7,40.0%,12,9.1%,,6,0.0%,"1,068",7.2%,
,335,-13.0%,5,-44.4%,59,-1.7%,31,-11.4%,,3,-25.0%,96,-3.0%,,2,-50.0%,531,-10.9%,
,635,-4.8%,30,-18.9%,76,24.6%,20,-4.8%,,5,0.0%,30,0.0%,,0,-100.0%,796,-3.2%,
,21,10.5%,3,200.0%,2,100.0%,3,50.0%,,2,100.0%,2,100.0%,,0,-100.0%,33,32.0%,
,54,-16.9%,,,55,1.9%,2,100.0%,,,,3,-25.0%,,0,-100.0%,114,-8.1%,
,638,-3.3%,17,6.3%,80,14.3%,7,0.0%,,5,150.0%,2,-33.3%,,4,-33.3%,753,-1.4%,
,95,-14.4%,0,-100.0%,11,-21.4%,3,-40.0%,,2,100.0%,2,0.0%,,2,0.0%,115,-16.1%,
,680,-12.5%,39,-2.5%,137,-1.4%,26,0.0%,,1,0.0%,17,6.3%,,5,-16.7%,905,-10.0%,
,47,-25.4%,5,-28.6%,19,26.7%,1,0.0%,,,,,,,,,72,-16.3%,
,815,-7.3%,57,7.5%,172,3.6%,47,27.0%,,8,14.3%,9,0.0%,,4,100.0%,"1,112",-3.6%,
,282,-6.3%,41,17.1%,72,-4.0%,18,38.5%,,3,50.0%,11,10.0%,,4,100.0%,431,-1.6%,
,"5,089",-4.7%,234,2.2%,881,3.5%,196,4.8%,,42,35.5%,207,-0.5%,,33,-15.4%,"6,682",-2.9%,
,"1,156",-4.0%,61,-10.3%,250,4.2%,213,6.5%,,7,-12.5%,37,-21.3%,,4,100.0%,"1,728",-2.3%,
,301,-4.1%,17,0.0%,57,-3.4%,35,9.4%,,6,100.0%,116,7.4%,,3,0.0%,535,-0.2%,
,286,4.0%,7,0.0%,37,12.1%,13,0.0%,,2,0.0%,65,32.7%,,0,-100.0%,410,7.3%,
