"Fall 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
1
5
1
1
1
1
1
1
2
1
7
5
1
9
2
3
16
44","Sophomore
1
1
4
2
1
1
10
3
2
5
1
1
1
1
6
3
10
2
8
1
7
6
1
15
59","Junior
2
1
1
3
1
8
1
1
1
1
4
1
1
5
4
15
4
3
17
2
9
7
1
14
81","Senior
2
1
2
2
4
1
5
1
1
1
20
2
1
3
3
1
4
1
3
12
2
4
1
7
6
6
10
4
4
28
5
12
8
1
13
97","PB
1
1
1
1
2
2","Total
6
2
3
3
11
6
2
6
1
2
1
1
44
6
2
1
9
4
4
4
1
1
4
18
2
2
5
3
12
18
13
42
15
8
64
8
30
24
3
58
283",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,23,24,43,43,,,73,
,,,,,,,,2,2,1,1,,,5,
,,,,,,,,6,6,8,8,,,17,
,,,,,,,,19,19,12,12,,,34,
,,,,,,,,15,15,38,38,,,64,
,,,,,,,,2,2,,,,,8,
,,,,,,,,1,1,8,8,,,9,
,,,,,,,,3,3,9,9,,,12,
,,,,,,,,6,6,12,12,,,20,
,,,,,,,,,,,,,,6,
,,,,,,,,3,3,9,9,,,13,
,,,,,,,,2,2,8,8,,,10,
,,,,,,,,4,4,24,24,,,30,
,,,,,,,,7,7,8,8,,,16,
,,,,,,,,8,8,9,9,,,18,
,,,,,,,1,101,102,189,189,,,335,
,,,,,,,,52,52,19,19,,,77,
,,,,,,,,70,70,,,,,72,
,,,,,,,,39,39,29,29,,,69,
,,,,,,,,161,161,48,48,,,218,
,,,,,,,,9,9,1,1,,,14,
,,,,,,,,45,45,,,,,49,
,,,,,,,,10,10,9,9,,,23,
,,,,,,,,106,106,2,2,,,109,
,,,,,,,,3,3,6,6,,,10,
,,,,,,,,10,10,9,9,,,23,
,,,,,,,,183,183,27,27,,,228,
,,,,,,,,,,,,,,2,
,,,,,,,,10,10,14,14,,,24,
,,,,,,,,15,15,26,26,,,43,
,,,,,,,,16,16,15,15,,,36,
,,,,,,,,16,16,24,24,,,43,
,,,,,,,,57,57,79,79,,,148,
,,,,,,,,17,17,32,32,,,67,
,,,,,,,,25,25,17,17,,,55,
,,,,,,,,34,34,67,67,,,143,
,,,,,,,,1,1,6,6,,,7,
,,,,,,,,102,102,95,95,,,212,
,,,,,,,,121,121,121,121,,,250,
,,,,,,,1,247,248,146,146,,,458,
,,,,,,,,,,,,,,8,
,,,,,,,,116,116,40,40,,,186,
,,,,,,,5,133,138,93,93,,,255,
,,,,,,,,10,10,14,14,,,27,
,,,,,,,8,99,107,55,55,,,220,
,,,,,,,14,905,919,686,686,,,"1,888",
,,,,,,,1,17,18,,,,,18,
,,,,,,,1,17,18,,,,,18,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
