"Fall 2007
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
2
10","Sophomore
1
1
1
2
2
7
1
1
2
2
34","Junior
1
1
1
1
2
1
5
1
1
1
1
25","Senior
1
3
1
2
1
8
2
2
29","PB
1","Total
1
1
2
4
2
2
1
3
4
2
20
3
3
2
2
5
5
99",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,2,2,7,7,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,4,4,,,7,
,,,,,,,,1,1,3,3,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,,,2,2,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,2,2,,,5,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,4,4,9,9,,,33,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,3,3,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,2,2,4,4,,,9,
,,,,,,,,,,,,,,9,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,1,1,7,7,12,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,5,
,,,,,,,,,2,,,,,2,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,1,,1,,,,,1,
,,,,,,,3,1,4,2,2,,,6,
,,,,,,,4,39,43,38,38,7,7,187,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
