"Fall 2007
Business                  ACCT
Admin                     AGBU BUAD BUAG EMBA FINC INFO MGMT MISY MKTG MLER USBU
Subtotal
Education                CPSY EDAD EDCI EDHL EDIS EDKI EDSM EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPMT SPSY TECR
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
804
1
805
41
238
144
61
24
5
513","1st Time PB
1
1
2","1st Time Transfer
5
55
2
1
2
2
67
22
116
57
41
12
25
273","Readmitted
3
8
3
2
2
3
21
10
8
9
6
5
11
1
50","Continuing
664
7
939
7
610
143
308
512
3
3,193
218
473
519
261
151
854
354
268
217
5
3,320",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,6,91,1,44,4,1,12,,,823,
,,,,,,,,,,,,,,,7,
,,,,,,,78,,67,,,,,,"1,951",
,,,,,,,,,,,,,,,8,
,,,,,,,50,,49,,,,,,99,
,,,,,,,94,,34,6,,9,,,758,
,,,,,,,,,,,,5,,,151,
,,,,,,,31,,24,3,,16,,,386,
,,,,,,,76,,70,,,,,,146,
,,,,,,,29,,32,4,,10,,,592,
,,,,,,,28,,45,,,,,,73,
,,,,,,,,,,,,,,,3,
,,,,,,,477,,365,17,,52,,,"4,997",
,,,,,,,,,,,,33,,,33,
,,,,,,,36,,41,24,,178,,,286,
,,,,,,33,112,,74,16,2,165,,,403,
,,,,,,,,,,,,,,,292,
,,,,,,,,,,,,,,,836,
,,,,,,,,,,,,,,,729,
,,,,,,,,,,,,,,,369,
,,,,,,1,14,,11,,,,,,26,
,,,,,,5,19,,46,7,1,80,,,158,
,,,,,,1,66,,44,8,2,69,,,190,
,,,,,,,7,,8,2,,12,,,29,
,,,,,,,,,,,,,,,151,
,,,,,,,,,,,,,,,895,
,,,,,,,,,,,,,,,395,
,,,,,,1,50,,38,2,,28,,,387,
,,,,,,,3,,2,,,2,,,7,
,,,,,,,,,,,,,,,218,
,,,,,,,,,,1,,43,,,44,
,,,,,,,,,1,,,,,,6,
,,,,,,47,307,1,265,60,6,610,,,"5,454",
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,
