Fall 2007,,Students,,
,,Enrolled,,
INSTITUTION,BLINN COLLEGE,591,,
NORTH HARRIS COUNTY COLLEGE,,110,,
,COLLIN COMMUNITY COLLEGE,29,,
WHARTON COUNTY JUNIOR COLLEGE,,26,,
,HOUSTON COMMUNITY COLLEGE,26,,
MCLENNAN  COMMUNITY  COLLEGE,,23,,
,SAN JACINTO COLLEGE,22,,
TYLER JUNIOR COLLEGE,,21,,
,TARRANT COUNTY JR COLLEGE,20,,
DALLAS COUNTY COMM COLLEGE,,20,,
,AUSTIN COMMUNITY COLLEGE,18,,
NORTHWEST VISTA COLLEGE,,14,,
,KILGORE COLLEGE,14,,
ALVIN COMMUNITY COLLEGE,,13,,
,MIDLAND  COLLEGE,10,,
TEMPLE  COLLEGE,,9,,
,SAN ANTONIO COLLEGE,9,,
PALO ALTO COLLEGE,,9,,
,CENTRAL TEXAS COLLEGE,9,,
WEATHERFORD  COLLEGE,,8,,
,NAVARRO  COLLEGE,8,,
PARIS JUNIOR COLLEGE,,6,,
,PANOLA COLLEGE,6,,
ODESSA COLLEGE,,6,,
,NORTHEAST TEXAS COMM COLLEGE,6,,
TRINITY VALLEY COMM COLLEGE,,5,,
,BRAZOSPORT COLLEGE,5,,
"Prepared by OISP, 07.Nov.07",,,,
