Country,Undergraduate,Masters,PhD,Professional,Total Students
Pakistan,7,19,10,,36
Panama,7,6,,,13
Paraguay,,3,1,,4
Peru,1,8,13,,22
Philippines,1,7,2,,10
Poland,2,,3,,5
Portugal,2,1,1,,4
Qatar,1,2,,,3
Romania,1,1,4,,6
Russia,1,7,11,,19
Rwanda,,,2,,2
Saudi Arabia,12,8,13,,33
Serbia,,6,4,,10
Singapore,7,4,1,,12
South Africa,6,,2,,8
Spain,6,3,,,9
Sri Lanka (Ceylon),5,5,6,,16
Sudan,1,,1,,2
Sweden,1,2,1,,4
Switzerland,,2,1,,3
Syria,,1,1,,2
Taiwan,2,82,112,,196
Tanzania,,,1,,1
Thailand,3,15,20,,38
Togo,,,1,,1
Trinidad & Tobago,1,3,3,,7
Tunisia,1,4,1,,6
Turkey,,29,52,,81
Uganda,1,,2,,3
Ukraine,,1,10,,11
United Arab Emirates,1,,2,,3
United Kingdom,9,4,3,,16
United States,"36,847","3,546","1,775",505,"42,673"
Uruguay,3,1,3,,7
Uzbekistan,,1,1,,2
Venezuela,11,8,9,,28
Viet Nam Socialist Republic,11,12,8,,31
Yemen,1,,,,1
Zambia,2,1,,,3
Zimbabwe (Rhodesia),1,,3,,4
