Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Spring 2007,,,,,,,
Official Certified 12th Class Day Data,,,,,,,
Spring 2007,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,303,"4,084","3,465",22,"7,874",
Gender,Female,164,"1,689","1,394",6,"3,253",
,Male,139,"2,395","2,071",16,"4,621",
Ethnicity,White,225,"2,265","1,313",4,"3,807",
,Black,17,117,154,2,290,
,Hispanic,22,280,243,1,546,
,Asian,9,141,79,,229,
,American Indian,2,11,17,1,31,
,International,24,"1,243","1,617",14,"2,898",
,Unknown/Other,4,27,42,,73,
TAMU Age,18-21,2,9,,1,12,
Categories,22-25,124,"2,094",178,6,"2,402",
,26-30,69,"1,261","1,303",6,"2,639",
,31-39,64,516,"1,389",5,"1,974",
,40+,44,204,595,4,847,
College,Agriculture,23,487,484,5,999,
,Architecture,7,338,81,1,427,
,Business Admin,1,711,69,,781,
,Education,92,440,693,2,"1,227",
,Engineering,36,"1,128",926,4,"2,094",
,G. Bush School of Govt,80,132,,,212,
,Geosciences,4,126,133,1,264,
,Liberal Arts,17,262,468,1,748,
,Science,13,272,392,8,685,
,Veterinary Medicine,2,67,61,,130,
,Other - Special Populations,28,121,158,,307,
Enrollment,1st Time PB,94,,,,94,
Status,1st Time Graduate,,356,70,,426,
,Readmitted,,10,10,,20,
,Continuing,209,"3,718","3,385",22,"7,334",
Tuition Status,Resident Tuition,263,"2,194","1,253",5,"3,715",
,Non-Resident Tuition,22,394,328,3,747,
,Tuition Exemption/Waiver,18,"1,496","1,884",14,"3,412",
Residency,Texas Resident,268,"2,243","1,306",6,"3,823",
Status,"Non-TX, US Resident",11,588,538,2,"1,139",
,"Non-TX, Non-US Resident",24,"1,253","1,621",14,"2,912",
SCH,< 6 SCH,176,461,726,2,"1,365",
Categories,6-8 SCH,80,369,171,3,623,
,9-11 SCH,37,"2,398","2,479",17,"4,931",
,12-14 SCH,9,672,76,,757,
,15-17 SCH,1,109,12,,122,
,>17 SCH,,75,1,,76,
Ft/Pt: TAMU,Less Than Half Time,136,310,580,1,"1,027",
Status,Half-Time,80,366,245,2,693,
,Full-Time,87,"3,408","2,640",19,"6,154",
"Prepared by OISP, 12 Apr 07",,,,,,,
