"Spring 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
AGEC CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
2
1
2
1
2
8
1
1
8
8
3
1
4
4
4
4
5
3
2
4
26
1
1
2","1st Time PB
1
1
2
1
5
1
1
1
1
1
1
4
1
1","1st Time Transfer
43
44
25
5
4
5
5
2
10
11
3
11
5
20
2
14
209
11
20
1
32
17
7
50
49
123
9
2
13
3
16
18
34
12
15
4
2
128
4
4
6
14","Readmitted
3
10
3
3
1
10
2
3
3
1
1
2
4
4
11
61
4
6
10
1
2
1
2
3
3
12
5
1
13
6
25
1
1
9
2
5
1
3
1
2
25
1
3
1
5","Continuing
479
834
704
257
295
331
96
53
126
550
177
123
133
269
93
339
4,859
557
610
141
1,308
632
1
1,626
563
137
341
560
3,860
371
249
1,719
1,422
3,761
541
335
556
544
934
730
816
350
981
173
448
6,408
129
51
138
119
437",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,5,1,43,4,4,53,,633,
,,,,,,,4,,55,,,54,,"1,002",
,,,,,,1,13,,57,,,30,,835,
,,,,,,,2,,21,,,22,,311,
,,,,,,,,,39,,,79,,419,
,,,,,,,1,,11,,,,,358,
,,,,,,,4,,18,3,,30,,157,
,,,,,,,2,,7,1,,9,,76,
,,,,,,,1,,14,,,17,,171,
,,,,,,,,,,,,,,568,
,,,,,,,,,8,1,,13,,203,
,,,,,,,2,,9,2,,10,,158,
,,,,,,1,4,,25,,,19,,189,
,,,,,,,2,,30,3,,45,,373,
,,,,,,,6,,37,,,25,,167,
,,,,,,3,6,,83,1,,63,,521,
,,,,,,6,52,,457,15,,469,,"6,141",
,,,,,,2,2,,168,1,,35,,782,
,,,,,,,7,1,71,,,,,715,
,,,,,,,7,1,86,,,45,,281,
,,,,,,2,16,3,325,1,,80,,"1,778",
,,,,,,,26,,112,,,17,,788,
,,,,,,,,,,,,,,1,
,,,,,,,,,172,,,,,"1,808",
,,,,,,1,37,,151,,,13,,766,
,,,,,,,5,,138,,,6,,288,
,,,,,,,,,29,,,20,,393,
,,,,,,,7,,34,,,13,,617,
,,,,,,1,75,,636,,,69,,"4,661",
,,,,,,,,,,,,,,393,
,,,,,,11,14,1,120,8,,293,,451,
,,,,,,2,6,1,83,,,157,,506,
,,,,,,,12,1,73,1,,50,,"1,922",
,,,,,,8,30,,172,10,1,169,,"1,869",
,,,,,,21,62,3,448,19,5,669,,"5,141",
,,,,,,,3,,46,2,,42,,643,
,,,,,,,3,,34,1,,28,,407,
,,,,,,,5,,51,2,,74,,707,
,,,,,,,,,,,,15,,15,
,,,,,,,10,,137,1,1,142,,843,
,,,,,,1,18,,133,4,1,144,,"1,261",
,,,,,,,23,,174,3,1,179,,"1,136",
,,,,,,,,,26,,,,,882,
,,,,,,,12,,67,,,59,,501,
,,,,,,5,26,1,192,5,1,125,,"1,357",
,,,,,,,1,,58,3,,36,,278,
,,,,,,11,9,1,121,3,,54,,655,
,,,,,,17,110,2,"1,039",24,4,898,,"8,685",
,,,,,,22,1,,189,,,,,212,
,,,,,,22,1,,189,,,,,212,
,,,,,,,,,30,,,28,,193,
,,,,,,,,,,,,,,51,
,,,,,,1,2,,25,,,32,,205,
,,,,,,2,2,,37,1,,38,,208,
,,,,,,,4,,28,1,,33,,66,
,,,,,,3,8,,120,2,,131,,723,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,
