"Spring 2007
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine                  VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal Other - Special         CLMD Populations               COFD
MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
1
2
1
1
1
4
3
1
14
2
2
1
1
6
6
6
12
12
87","1st Time PB
1
1
12","1st Time Transfer
6
6
30
32
13
2
5
26
1
17
2
34
5
179
18
2
3
2
25
5
5
28
28
743","Readmitted
1
3
3
5
5
4
5
2
28
4
1
1
1
7
40
40
213","Continuing
116
454
879
416
667
25
80
624
103
840
74
945
316
5,539
1,439
241
229
103
2,012
1,617
1,617
3,089
3,089
50
50
32,940",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,3,1,1,58,2,1,51,505,233,
,,,,,,,1,,5,,,,,467,
,,,,,,,1,,17,,,45,,977,
,,,,,,,,,44,,,68,,564,
,,,,,,,,,31,,,82,,804,
,,,,,,,,,,,,,,27,
,,,,,,,3,,8,,,16,,112,
,,,,,,1,,,26,,,42,,725,
,,,,,,,1,,15,,,7,,127,
,,,,,,,,,6,,,55,,926,
,,,,,,,,,,,,,,76,
,,,,,,,,,30,,,48,,"1,065",
,,,,,,1,1,,26,,,51,,405,
,,,,,,5,8,1,266,2,1,465,,"6,508",
,,,,,,,1,,38,,,54,,"1,557",
,,,,,,,1,,110,1,,133,,491,
,,,,,,1,4,1,44,,,63,,347,
,,,,,,,2,,39,,,101,,249,
,,,,,,2,4,,46,,,40,,92,
,,,,,,3,12,1,277,1,,391,,"2,736",
,,,,,,,,,3,,,,,"2,136",
,,,,,,,1,,19,1,,17,,38,
,,,,,,,,,5,,,,,5,
,,,,,,,,,2,,,,,2,
,,,,,,1,1,,29,,,32,,63,
,,,,,,,1,,7,1,,10,,19,
,,,,,,1,3,,65,2,,59,505,"2,263",
,,,,,,,,,,,,,,"3,169",
,,,,,,,,,,,,,,"3,169",
,,,,,,,,,5,,,,,5,
,,,,,,1,9,,112,4,,154,,280,
,,,,,,,,,1,,,,,1,
,,,,,,6,,,1,,,,,57,
,,,,,,6,,,8,,,,,14,
,,,,,,13,9,,127,4,,154,,357,
,,,,,,94,356,10,"3,949",70,10,"3,385",505,"42,374",
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,
