"Spring 2007
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
3
1
1
2
3
1
1
5
1
1
16
16
9
9
103","Sophomore
1
1
1
1
2
4
2
1
1
1
5
3
3
22
22
82","Junior
1
1
1
2
1
5
1
2
12
4
2
6
1
1
14
14
118","Senior
1
1
2
2
1
1
1
7
6
6
2
2
5
5
177","PB
5","Total
1
5
6
1
6
2
9
1
1
1
1
3
25
11
5
2
4
22
3
3
20
20
50
50
485",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,3,21,21,,,25,
,,,,,,,,6,6,17,17,,,23,
,,,,,,,,13,13,22,22,,,40,
,,,,,,,,5,6,18,18,,,24,
,,,,,,,1,27,28,78,78,,,112,
,,,,,,,,6,6,10,10,,,17,
,,,,,,,,,,,,,,6,
,,,,,,,,2,2,6,6,,,10,
,,,,,,,,30,30,55,55,,,94,
,,,,,,,,3,3,26,26,,,29,
,,,,,,,,3,3,,,,,4,
,,,,,,,,,,2,2,,,3,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,15,15,,,16,
,,,,,,,,1,1,7,7,,,9,
,,,,,,,,2,2,6,6,,,11,
,,,,,,,,48,48,128,128,,,201,
,,,,,,,,12,12,22,22,,,45,
,,,,,,,,43,43,53,53,,,101,
,,,,,,,,5,5,41,41,,,48,
,,,,,,,,14,14,68,68,,,86,
,,,,,,,,27,27,26,26,,,53,
,,,,,,,,101,101,210,210,,,333,
,,,,,,,,,,,,,,3,
,,,,,,,,2,2,7,7,,,9,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,3,4,14,14,,,18,
,,,,,,,,3,3,7,7,,,10,
,,,,,,,1,9,10,28,28,,,41,
,,,,,,,,,,,,,,20,
,,,,,,,,,,,,,,20,
,,,,,,,4,,4,,,,,4,
,,,,,,,,40,40,94,94,,,134,
,,,,,,,7,,7,,,,,57,
,,,,,,,2,,2,,,,,2,
,,,,,,,13,40,53,94,94,,,197,
,,,,,,,24,"1,257","1,281","1,617","1,617",,,"3,383",
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,
