Spring 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,73,1.4%,4,100.0%,9,-18.2%,5,-28.6%,1,100.0%,59,-13.2%,1,-75.0%,152,-7.3%,
,COMG,18,-21.7%,2,100.0%,3,-25.0%,2,-33.3%,,,54,74.2%,,,79,27.4%,
,COSC,327,4.8%,3,0.0%,27,-10.0%,2,-60.0%,1,100.0%,0,-100.0%,1,-66.7%,361,1.7%,
,COSL,217,-2.7%,5,66.7%,39,25.8%,9,800.0%,3,50.0%,1,0.0%,1,0.0%,275,5.0%,
,ENDL,257,3.6%,6,50.0%,47,11.9%,15,0.0%,1,-50.0%,4,100.0%,2,100.0%,332,6.1%,
,ENDS,190,6.1%,4,0.0%,27,-3.6%,14,55.6%,1,100.0%,4,0.0%,1,0.0%,241,7.1%,
,LAND,87,22.5%,1,0.0%,14,27.3%,2,100.0%,1,0.0%,7,-12.5%,1,100.0%,113,21.5%,
,LANL,42,-20.8%,,,11,120.0%,2,100.0%,,,1,100.0%,,,56,-5.1%,
,LDEV,19,375.0%,1,0.0%,0,-100.0%,1,0.0%,1,100.0%,7,40.0%,2,0.0%,31,106.7%,
,URPL,16,6.7%,3,0.0%,2,100.0%,,,,,13,8.3%,1,100.0%,35,12.9%,
,URSC,11,10.0%,1,0.0%,1,0.0%,1,100.0%,,,32,-15.8%,0,-100.0%,46,-9.8%,
,VIZA,38,-11.6%,1,0.0%,4,0.0%,6,0.0%,,,7,-22.2%,1,100.0%,57,-9.5%,
,Subtotal,"1,295",3.4%,31,29.2%,184,8.2%,59,20.4%,9,80.0%,189,5.0%,11,-8.3%,"1,778",5.0%,
Business,ACCT,656,2.2%,10,0.0%,57,26.7%,35,16.7%,5,66.7%,20,42.9%,5,66.7%,788,5.5%,
Admin,AGBU,10,150.0%,,,0,-100.0%,,,,,,,,,10,100.0%,
,BUAD,"1,345",-1.0%,51,13.3%,205,23.5%,64,23.1%,9,80.0%,22,-26.7%,3,-57.1%,"1,699",2.1%,
,BUAG,7,-36.4%,,,3,100.0%,,,1,100.0%,1,100.0%,,,12,9.1%,
,EMBA,61,144.0%,4,300.0%,13,30.0%,3,50.0%,,,3,100.0%,4,300.0%,88,125.6%,
,FINC,598,-3.2%,9,-10.0%,40,5.3%,34,36.0%,4,0.0%,22,29.4%,0,-100.0%,707,-0.8%,
,INFO,116,-17.1%,6,100.0%,12,33.3%,6,0.0%,0,-100.0%,4,-50.0%,2,100.0%,146,-13.6%,
,MGMT,309,-11.0%,6,-57.1%,45,40.6%,20,11.1%,1,0.0%,11,10.0%,1,-66.7%,393,-7.5%,
,MISY,55,25.0%,0,-100.0%,3,50.0%,5,25.0%,,,79,2.6%,,,142,10.1%,
,MKTG,532,1.9%,6,0.0%,47,46.9%,13,-13.3%,1,-50.0%,17,13.3%,1,-50.0%,617,3.9%,
,MLER,50,4.2%,,,7,75.0%,,,1,100.0%,1,0.0%,0,-100.0%,59,1.7%,
,Subtotal,"3,739",-0.6%,92,1.1%,432,27.4%,180,18.4%,22,29.4%,180,4.7%,16,-30.4%,"4,661",2.3%,
Education,CPSY,20,-4.8%,7,75.0%,5,-16.7%,2,0.0%,,,2,0.0%,1,100.0%,37,5.7%,
,EDAD,187,-7.4%,33,3.1%,50,6.4%,1,100.0%,2,0.0%,8,33.3%,3,-25.0%,284,-3.1%,
,EDCI,259,-0.8%,36,-21.7%,43,16.2%,9,80.0%,2,100.0%,38,26.7%,3,-50.0%,390,1.0%,
,EDHL,134,-31.6%,9,-18.2%,22,-8.3%,4,-42.9%,3,200.0%,2,100.0%,,,174,-27.2%,
,EDIS,583,-11.0%,21,10.5%,64,18.5%,11,0.0%,1,-75.0%,2,100.0%,3,100.0%,685,-7.9%,
,EDKI,582,5.1%,23,-11.5%,69,6.2%,13,-13.3%,1,0.0%,,,3,200.0%,691,4.4%,
,EDSM,250,22.0%,14,7.7%,25,4.2%,2,100.0%,0,-100.0%,1,-50.0%,0,-100.0%,292,18.2%,
,EDTC,10,-41.2%,0,-100.0%,1,-50.0%,0,-100.0%,,,5,25.0%,,,16,-36.0%,
,EHRD,97,1.0%,19,-5.0%,27,-18.2%,3,50.0%,,,20,-9.1%,1,-66.7%,167,-5.1%,
,EPSY,97,-1.0%,6,-14.3%,18,-25.0%,,,1,0.0%,27,-3.6%,0,-100.0%,149,-6.3%,
,HEED,15,0.0%,5,-37.5%,1,0.0%,3,200.0%,,,5,25.0%,0,-100.0%,29,-3.3%,
,HLTH,143,5.1%,4,-42.9%,17,21.4%,2,-33.3%,,,0,-100.0%,1,0.0%,167,3.1%,
,INST,901,-7.1%,10,-28.6%,106,-11.7%,12,33.3%,3,0.0%,2,-33.3%,1,0.0%,"1,035",-7.6%,
,ISNC,301,7.1%,19,35.7%,56,24.4%,11,57.1%,3,50.0%,1,-66.7%,2,100.0%,393,11.3%,
,KINE,292,-2.3%,12,140.0%,33,50.0%,2,-75.0%,0,-100.0%,19,58.3%,2,-50.0%,360,2.3%,
,PHED,6,50.0%,,,0,-100.0%,,,,,0,-100.0%,,,6,-14.3%,
,SPMT,175,54.9%,4,100.0%,18,28.6%,2,100.0%,1,100.0%,2,100.0%,1,100.0%,203,57.4%,
,SPSY,24,-7.7%,7,16.7%,11,10.0%,4,33.3%,,,1,0.0%,,,47,2.2%,
,TECR,13,-40.9%,1,0.0%,2,-33.3%,0,-100.0%,,,,,0,-100.0%,16,-44.8%,
,Subtotal,"4,089",-2.0%,230,-2.5%,568,4.0%,81,5.2%,17,-5.6%,135,11.6%,21,-16.0%,"5,141",-1.0%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,,,,
