"Spring 2007
Headcount Total
TAMU Age                   18-21
Categories                     22-25
26-30
31-39
40+
Classification                Freshman Sophomore Junior Senior
PB
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas             No
High School                  Yes
First Generation            No Unknown Yes
Dorm / Off-campus       Off-campus students                         Dorm (On-campus)",White,,,,Black,,,,Hispanic,,,,Asian,,,,America Indian,,n,International,,,,Unknown/Other,,,Grand Total,,,,
,F,,M,Tot,F,M,,Tot,F,,M,Tot,F,,M,Tot,F,Tot,,F,,M,Tot,F,M,Tot,F,,M,Tot,
,,76,110,186,,,1,1,,5,11,16,,1,,1,1,,1,,1,3,4,,,,,84,125,209,
,,52,69,121,,,,,,5,6,11,,1,,1,1,,1,,,1,1,,,,,59,76,135,
,,17,35,52,,,1,1,,,4,4,,,,,,,,,,,,,,,,17,40,57,
,,5,5,10,,,,,,,,,,,,,,,,,,2,2,,,,,5,7,12,
,,1,1,2,,,,,,,1,1,,,,,,,,,1,,1,,,,,2,2,4,
,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,4,8,12,,,,,,,2,2,,,,,1,,1,,,1,1,,,,,5,11,16,
,,52,74,126,,,,,,1,6,7,,1,,1,,,,,,1,1,,,,,54,81,135,
,,20,27,47,,,1,1,,4,3,7,,,,,,,,,,1,1,,,,,24,32,56,
,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,
,,75,107,182,,,,,,5,11,16,,1,,1,1,,1,,,,,,,,,82,118,200,
,,1,2,3,,,1,1,,,,,,,,,,,,,,1,1,,,,,1,4,5,
,,,1,1,,,,,,,,,,,,,,,,,1,2,3,,,,,1,3,4,
,,75,108,183,,,,,,5,11,16,,1,,1,1,,1,,,,,,,,,82,119,201,
,,1,2,3,,,1,1,,,,,,,,,,,,,,,,,,,,1,3,4,
,,,,,,,,,,,,,,,,,,,,,1,3,4,,,,,1,3,4,
,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,
,,4,7,11,,,,,,,,,,,,,,,,,,,,,,,,4,7,11,
,,43,70,113,,,1,1,,4,7,11,,,,,,,,,1,2,3,,,,,48,80,128,
,,24,27,51,,,,,,1,4,5,,1,,1,1,,1,,,1,1,,,,,27,32,59,
,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,
,,3,7,10,,,,,,,,,,,,,,,,,,,,,,,,3,7,10,
,,69,99,168,,,1,1,,5,11,16,,1,,1,1,,1,,1,3,4,,,,,77,114,191,
,,74,110,184,,,1,1,,3,11,14,,1,,1,1,,1,,1,3,4,,,,,80,125,205,
,,2,,2,,,,,,2,,2,,,,,,,,,,,,,,,,4,,4,
,,40,69,109,,,,,,1,3,4,,1,,1,1,,1,,,,,,,,,43,72,115,
,,1,6,7,,,1,1,,,1,1,,,,,,,,,1,3,4,,,,,2,11,13,
,,35,35,70,,,,,,4,7,11,,,,,,,,,,,,,,,,39,42,81,
,,67,102,169,,,,,,5,10,15,,1,,1,1,,1,,1,3,4,,,,,75,115,190,
,,9,8,17,,,1,1,,,1,1,,,,,,,,,,,,,,,,9,10,19,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
