Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,459,3.8%,131,-7.1%,133,10.8%,,,723,2.8%,
Gender,Female,168,0.0%,57,-3.4%,44,0.0%,,,269,-0.7%,
,Male,291,6.2%,74,-9.8%,89,17.1%,,,454,5.1%,
Ethnicity,White,401,6.4%,88,-11.1%,46,9.5%,,,535,3.3%,
,Black,2,-33.3%,1,-50.0%,2,100.0%,,,5,-16.7%,
,Hispanic,33,-15.4%,10,42.9%,2,0.0%,,,45,-6.3%,
,Asian,14,7.7%,1,100.0%,1,-50.0%,,,16,6.7%,
,American Indian,3,0.0%,1,0.0%,1,0.0%,,,5,0.0%,
,International,6,0.0%,28,0.0%,78,11.4%,,,112,7.7%,
,Unknown/Other,0,-100.0%,2,-50.0%,3,50.0%,,,5,-28.6%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,209,9.4%,,,,,,,209,9.4%,
,22-25,216,2.4%,58,-14.7%,3,0.0%,,,277,-1.8%,
,26-30,20,-20.0%,44,7.3%,55,22.2%,,,119,7.2%,
,31-39,11,-21.4%,25,-7.4%,57,7.5%,,,93,-1.1%,
,40+,3,200.0%,4,-20.0%,18,-5.3%,,,25,0.0%,
Enrollment,1st Time in College,2,100.0%,,,,,,,2,100.0%,
Status,1st Time PB,1,0.0%,3,200.0%,,,,,4,100.0%,
,1st Time Graduate,,,8,33.3%,2,-50.0%,,,10,0.0%,
,1st Time Transfer,14,7.7%,,,,,,,14,7.7%,
,Readmitted,5,0.0%,,,,,,,5,0.0%,
,Continuing,437,3.3%,120,-10.4%,131,12.9%,,,688,2.2%,
Tuition,Resident Tuition,424,3.4%,65,0.0%,20,-4.8%,,,509,2.6%,
Status,Non-Resident Tuition,17,70.0%,11,-8.3%,14,-12.5%,,,42,10.5%,
,Tuition Exemption/Waiver,18,-18.2%,55,-14.1%,99,19.3%,,,172,1.8%,
Residency,Texas Resident,431,2.6%,68,3.0%,22,4.8%,,,521,2.8%,
Status,"Non-TX, US Resident",22,37.5%,35,-23.9%,33,22.2%,,,90,1.1%,
,"Non-TX, Non-US Resident",6,0.0%,28,-3.4%,78,8.3%,,,112,4.7%,
SCH,< 6 SCH,9,125.0%,19,-29.6%,20,53.8%,,,48,9.1%,
Categories,6-8 SCH,20,33.3%,7,-41.7%,2,-33.3%,,,29,-3.3%,
,9-11 SCH,35,52.2%,103,5.1%,110,7.8%,,,248,11.2%,
,12-14 SCH,191,0.5%,2,-33.3%,1,-50.0%,,,194,-0.5%,
,15-17 SCH,184,-5.2%,0,-100.0%,,,,,184,-5.6%,
,>17 SCH,20,25.0%,,,,,,,20,25.0%,
Ft/Pt:,Less Than Half Time,8,100.0%,14,-41.7%,15,25.0%,,,37,-7.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","19
35","26.7%
52.2%",7,-22.2%,2,100.0%,,,"28
35","12.0%
52.2%",
,Full-Time,397,-0.8%,110,1.9%,116,8.4%,,,623,1.3%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
