"Spring 2007
Headcount Total
TAMU Age                   18-21
Categories                     22-25
26-30
31-39
40+
Classification                Freshman Sophomore Junior Senior
PB
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas             No
High School                  Yes
First Generation            No Unknown Yes
Dorm / Off-campus       Off-campus students                         Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,Asian,,,,American Indian,,International,,,,Unknown/Othe,,,r,Grand Total,,,,
,F,,M,,Tot,F,M,,Tot,F,,M,Tot,F,M,,Tot,F,Tot,F,,M,Tot,F,M,Tot,,F,,M,Tot,
,,10,,76,86,,,1,1,,4,14,18,,,6,6,,,,7,9,16,,1,,1,,21,107,128,
,,7,,35,42,,,1,1,,3,8,11,,,4,4,,,,3,5,8,,1,,1,,13,54,67,
,,2,,31,33,,,,,,,5,5,,,1,1,,,,2,3,5,,,,,,4,40,44,
,,,,9,9,,,,,,1,1,2,,,,,,,,2,1,3,,,,,,3,11,14,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,
,,1,,3,4,,,,,,,,,,,,,,,,2,1,3,,,,,,3,4,7,
,,6,,43,49,,,,,,3,7,10,,,4,4,,,,2,3,5,,1,,1,,11,58,69,
,,3,,24,27,,,1,1,,1,6,7,,,2,2,,,,2,2,4,,,,,,6,35,41,
,,,,6,6,,,,,,,1,1,,,,,,,,,2,2,,,,,,,9,9,
,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,1,1,2,
,,10,,73,83,,,1,1,,3,12,15,,,5,5,,,,,1,1,,1,,1,,13,93,106,
,,,,1,1,,,,,,1,1,2,,,1,1,,,,5,7,12,,,,,,6,10,16,
,,,,2,2,,,,,,,1,1,,,,,,,,2,1,3,,,,,,2,4,6,
,,10,,74,84,,,1,1,,4,14,18,,,5,5,,,,,,,,1,,1,,14,95,109,
,,,,2,2,,,,,,,,,,,1,1,,,,,,,,,,,,,3,3,
,,,,,,,,,,,,,,,,,,,,,7,9,16,,,,,,7,9,16,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,4,4,,,,,,1,,1,,,,,,,,,1,1,,,,,,1,5,6,
,,,,6,6,,,,,,,2,2,,,,,,,,1,1,2,,,,,,1,9,10,
,,9,,50,59,,,1,1,,3,10,13,,,5,5,,,,3,3,6,,,,,,15,69,84,
,,,,15,15,,,,,,,2,2,,,1,1,,,,3,4,7,,1,,1,,3,23,26,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,4,4,,,,,,1,,1,,,,,,,,,1,1,,,,,,1,5,6,
,,,,6,6,,,,,,,2,2,,,,,,,,1,1,2,,,,,,1,9,10,
,,9,,66,75,,,1,1,,3,12,15,,,6,6,,,,6,7,13,,1,,1,,18,93,111,
,,10,,72,82,,,1,1,,4,14,18,,,6,6,,,,7,9,16,,1,,1,,21,103,124,
,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,4,4,
,,2,,43,45,,,1,1,,3,5,8,,,4,4,,,,,,,,1,,1,,5,54,59,
,,1,,3,4,,,,,,,,,,,,,,,,6,8,14,,,,,,7,11,18,
,,7,,30,37,,,,,,1,9,10,,,2,2,,,,1,1,2,,,,,,9,42,51,
,,8,,66,74,,,1,1,,2,7,9,,,3,3,,,,4,7,11,,1,,1,,14,85,99,
,,2,,10,12,,,,,,2,7,9,,,3,3,,,,3,2,5,,,,,,7,22,29,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
