Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,686,0.6%,,,,,,,686,0.6%,
Gender,Female,339,18.1%,,,,,,,339,18.1%,
,Male,347,-12.2%,,,,,,,347,-12.2%,
Ethnicity,White,453,-7.0%,,,,,,,453,-7.0%,
,Black,53,-3.6%,,,,,,,53,-3.6%,
,Hispanic,130,34.0%,,,,,,,130,34.0%,
,Asian,35,25.0%,,,,,,,35,25.0%,
,American Indian,8,0.0%,,,,,,,8,0.0%,
,International,4,-33.3%,,,,,,,4,-33.3%,
,Unknown/Other,3,200.0%,,,,,,,3,200.0%,
TAMU Age,<18,4,100.0%,,,,,,,4,100.0%,
Categories,18-21,662,0.5%,,,,,,,662,0.5%,
,22-25,18,-5.3%,,,,,,,18,-5.3%,
,26-30,2,0.0%,,,,,,,2,0.0%,
,31-39,,,,,,,,,,,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,281,39.1%,,,,,,,281,39.1%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,4,-50.0%,,,,,,,4,-50.0%,
,Readmitted,1,-80.0%,,,,,,,1,-80.0%,
,Continuing,400,-14.3%,,,,,,,400,-14.3%,
Tuition,Resident Tuition,650,2.8%,,,,,,,650,2.8%,
Status,Non-Resident Tuition,15,-6.3%,,,,,,,15,-6.3%,
,Tuition  Exemption/Waiver,21,-38.2%,,,,,,,21,-38.2%,
Residency,Texas Resident,652,0.9%,,,,,,,652,0.9%,
Status,"Non-TX, US Resident",30,0.0%,,,,,,,30,0.0%,
,"Non-TX, Non-US Resident",4,-33.3%,,,,,,,4,-33.3%,
SCH,< 6 SCH,167,-18.1%,,,,,,,167,-18.1%,
Categories,6-8 SCH,185,-9.8%,,,,,,,185,-9.8%,
,9-11 SCH,302,28.5%,,,,,,,302,28.5%,
,12-14 SCH,32,-15.8%,,,,,,,32,-15.8%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,6,-57.1%,,,,,,,6,-57.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","192
1","-13.1%
-66.7%",,,,,,,"192
1","-13.1%
-66.7%",
,Full-Time,487,9.7%,,,,,,,487,9.7%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
