Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Summer 2007,,,,,,,
Official Combined Summer Data – Not Certified,,,,,,,
Summer 2007,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,164,"2,533","2,538",15,"5,250",
Gender,Female,77,"1,086","1,017",3,"2,183",
,Male,87,"1,447","1,521",12,"3,067",
Ethnicity,White,114,"1,380",946,2,"2,442",
,Black,11,79,97,2,189,
,Hispanic,14,171,185,2,372,
,Asian,6,68,63,,137,
,American Indian,2,12,11,,25,
,International,14,807,"1,204",9,"2,034",
,Unknown/Other,3,16,32,,51,
TAMU Age,18-21,1,16,,1,18,
Categories,22-25,59,"1,477",176,5,"1,717",
,26-30,40,701,"1,059",5,"1,805",
,31-39,34,259,937,3,"1,233",
,40+,30,80,366,1,477,
College,Agriculture,15,306,367,4,692,
,Architecture,1,189,36,,226,
,Business Admin,,410,70,,480,
,Education,28,361,490,1,880,
,Engineering,23,715,675,6,"1,419",
,G. Bush School of Govt,60,22,,,82,
,Geosciences,3,86,99,1,189,
,Liberal Arts,2,118,234,,354,
,Science,13,182,362,3,560,
,Veterinary Medicine,3,50,57,,110,
,Other - Special Populations,16,94,148,,258,
Enrollment,1st Time PB,74,,,,74,
Status,1st Time Graduate,,307,51,,358,
,Readmitted,1,3,4,,8,
,Continuing,89,"2,223","2,483",15,"4,810",
Tuition,Resident Tuition,134,"1,338",889,5,"2,366",
Status,Non-Resident Tuition,11,308,221,1,541,
,Tuition Exemption/Waiver,19,887,"1,428",9,"2,343",
Residency,Texas Resident,143,"1,369",935,5,"2,452",
Status,"Non-TX, US Resident",7,352,395,1,755,
,"Non-TX, Non-US Resident",14,812,"1,208",9,"2,043",
SCH,< 6 SCH,122,965,732,2,"1,821",
Categories,6-8 SCH,34,"1,200","1,718",9,"2,961",
,9-11 SCH,6,237,71,3,317,
,12-14 SCH,2,125,15,1,143,
,15-17 SCH,,6,2,,8,
Ft/Pt:,Less Than Half Time,6,311,405,,722,
"TAMU
Status","Half-Time
Three-Quarter Time",80,"304
1","112
4",2,"498
5",
,Full-Time,78,"1,917","2,017",13,"4,025",
"Prepared by OISP, 09 Aug 07",,,,,,,
