Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Summer 2007,,,,,,,,,,,,
Enrollment Profile – Summer 2007 Official Combined Summer Data – Not Certified,,,,,,,,,,,,
Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"4,572",-9.9%,714,-6.1%,459,-3.2%,95,-9.5%,"5,840",-9.0%,
,Black,221,7.3%,51,6.3%,64,4.9%,,,336,6.7%,
,Hispanic,665,1.8%,92,-5.2%,105,6.1%,4,-60.0%,866,0.8%,
,Asian,210,-2.8%,32,-15.8%,25,4.2%,6,500.0%,273,-2.2%,
,American Indian,30,-3.2%,7,40.0%,7,0.0%,,,44,2.3%,
,International,80,25.0%,265,35.9%,345,7.1%,,,690,18.8%,
,Unknown/Other,61,24.5%,5,-64.3%,12,0.0%,1,-66.7%,79,1.3%,
,Subtotal,"5,839",-7.2%,"1,166",0.8%,"1,017",1.8%,106,-10.9%,"8,128",-5.2%,
Male,White,"4,674",-6.0%,782,3.0%,487,-3.8%,39,21.9%,"5,982",-4.6%,
,Black,227,-2.2%,41,10.8%,33,10.0%,0,-100.0%,301,0.0%,
,Hispanic,680,-1.3%,95,2.2%,80,6.7%,2,-33.3%,857,-0.3%,
,Asian,250,-3.5%,42,-10.6%,38,11.8%,1,-50.0%,331,-3.2%,
,American Indian,29,-14.7%,7,250.0%,4,33.3%,,,40,2.6%,
,International,145,-9.4%,565,16.7%,859,-5.2%,,,"1,569",1.2%,
,Unknown/Other,80,29.0%,14,-17.6%,20,-4.8%,1,100.0%,115,15.0%,
,Subtotal,"6,085",-5.0%,"1,546",7.4%,"1,521",-3.4%,43,10.3%,"9,195",-2.8%,
Grand Total,,"11,924",-6.1%,"2,712",4.5%,"2,538",-1.4%,149,-5.7%,"17,323",-3.9%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
