"Summer 2007
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD Populations             COFD GACD
MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,60,11.1%,,,7,40.0%,,,,,,24,20.0%,,2,0.0%,93,14.8%,
,13,18.2%,,,0,-100.0%,0,-100.0%,,,,,,,1,100.0%,14,7.7%,
,64,-19.0%,3,0.0%,8,60.0%,4,33.3%,,1,0.0%,12,100.0%,,1,100.0%,93,-4.1%,
,52,-10.3%,,,6,0.0%,2,100.0%,,,,31,6.9%,,0,-100.0%,91,-4.2%,
,30,-6.3%,,,2,0.0%,0,-100.0%,,,,19,11.8%,,,,51,-1.9%,
,219,-6.4%,3,0.0%,23,21.1%,6,0.0%,,1,0.0%,86,19.4%,,4,33.3%,342,1.2%,
,54,-19.4%,1,0.0%,6,-33.3%,2,0.0%,,,,2,-33.3%,,1,0.0%,66,-20.5%,
,138,16.9%,2,-71.4%,28,-30.0%,6,0.0%,,2,100.0%,2,100.0%,,0,-100.0%,178,2.3%,
,283,-0.4%,8,-11.1%,27,-6.9%,5,66.7%,,2,100.0%,6,0.0%,,7,40.0%,338,0.3%,
,160,-7.5%,2,-50.0%,25,-13.8%,13,-27.8%,,1,0.0%,28,-37.8%,,0,-100.0%,229,-16.1%,
,261,-8.4%,13,-13.3%,23,4.5%,6,-25.0%,,2,0.0%,9,-10.0%,,0,-100.0%,314,-8.7%,
,7,-12.5%,1,100.0%,,,1,100.0%,,,,,,,1,0.0%,10,11.1%,
,18,-33.3%,,,19,-20.8%,,,,,,1,100.0%,,1,100.0%,39,-23.5%,
,228,-9.9%,5,0.0%,25,38.9%,3,50.0%,,0,-100.0%,,,,7,250.0%,268,-4.6%,
,35,-10.3%,,,4,-20.0%,0,-100.0%,,1,100.0%,1,-50.0%,,1,-50.0%,42,-14.3%,
,341,-3.7%,15,0.0%,53,10.4%,10,-9.1%,,1,0.0%,14,0.0%,,5,-16.7%,439,-2.2%,
,11,-26.7%,3,-25.0%,6,0.0%,,,,,,,,,,,20,-20.0%,
,317,-20.9%,30,76.5%,61,0.0%,10,-28.6%,,5,66.7%,7,-30.0%,,2,100.0%,432,-14.8%,
,115,0.9%,17,54.5%,36,12.5%,7,0.0%,,1,0.0%,6,20.0%,,10,900.0%,192,12.3%,
,"1,968",-8.0%,97,10.2%,313,-3.1%,63,-12.5%,,15,36.4%,76,-20.8%,,35,40.0%,"2,567",-6.8%,
,309,-7.5%,14,-12.5%,58,28.9%,46,-17.9%,,1,-75.0%,33,22.2%,,0,-100.0%,461,-4.9%,
,135,-14.0%,7,-12.5%,33,6.5%,18,0.0%,,3,0.0%,102,9.7%,,16,23.1%,314,-2.8%,
,95,-14.4%,2,0.0%,13,-7.1%,1,-88.9%,,,,43,22.9%,,2,100.0%,156,-9.3%,
,46,-8.0%,1,-50.0%,9,-18.2%,8,60.0%,,2,0.0%,71,-6.6%,,0,-100.0%,137,-11.6%,
,21,40.0%,1,100.0%,1,-50.0%,2,0.0%,,,,36,28.6%,,0,-100.0%,61,27.1%,
,606,-9.1%,25,-10.7%,114,10.7%,75,-16.7%,,6,-33.3%,285,10.0%,,18,-33.3%,"1,129",-4.6%,
,468,-3.3%,12,-33.3%,70,-2.8%,51,-16.4%,,0,-100.0%,2,100.0%,,23,15.0%,626,-5.2%,
,19,-17.4%,,,1,0.0%,2,-33.3%,,1,0.0%,9,28.6%,,,,32,-8.6%,
,2,-50.0%,,,1,0.0%,,,,,,,,,,,3,-40.0%,
,1,100.0%,,,,,,,,,,1,0.0%,,,,2,100.0%,
,23,-8.0%,2,-33.3%,5,-28.6%,2,100.0%,,1,100.0%,15,7.1%,,1,0.0%,49,-2.0%,
,6,20.0%,1,0.0%,,,0,-100.0%,,,,10,25.0%,,1,-50.0%,18,5.9%,
,519,-4.1%,15,-31.8%,77,-4.9%,55,-15.4%,,2,-60.0%,37,19.4%,,25,8.7%,730,-4.9%,
,453,-7.0%,53,-3.6%,130,34.0%,35,25.0%,,8,0.0%,4,-33.3%,,3,200.0%,686,0.6%,
,453,-7.0%,53,-3.6%,130,34.0%,35,25.0%,,8,0.0%,4,-33.3%,,3,200.0%,686,0.6%,
,1,0.0%,,,0,-100.0%,1,100.0%,,,,6,100.0%,,,,8,300.0%,
,97,-10.2%,7,133.3%,8,-11.1%,7,-22.2%,,,,120,6.2%,,2,-33.3%,241,-1.6%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,,,,,,,,,,,,7,16.7%,,,,7,16.7%,
,5,0.0%,,,1,0.0%,,,,,,0,-100.0%,,,,6,-25.0%,
,105,-7.9%,7,133.3%,9,-18.2%,8,-11.1%,,,,133,9.9%,,2,-33.3%,264,1.1%,
,"11,822",-6.8%,637,3.4%,"1,723",0.2%,604,-2.7%,,84,2.4%,"2,259",6.0%,,194,9.0%,"17,323",-3.9%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,,,,,
