"Summer 2007
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations               COFD
GACD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
3
2
1
3
28
28
66","Sophomore
1
1
1
3
1
7
1
13
2
2
1
1
20
20
99","Junior
1
3
1
4
5
3
1
18
5
1
1
7
1
1
5
5
130","Senior
1
2
6
2
5
4
3
15
6
44
3
1
4
9
9
153",PB,"Total
1
1
1
2
8
2
11
1
5
10
3
26
9
78
12
3
1
16
11
11
53
53
448",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,3,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,2,
,,,,,,,,,,2,2,,,13,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,5,
,,,,,,,,3,3,2,2,,,15,
,,,,,,,,,,,,,,3,
,,,,,,,,2,2,2,2,,,30,
,,,,,,,,4,4,4,4,,,17,
,,,,,,,,9,9,10,10,,,97,
,,,,,,,,1,1,1,1,,,14,
,,,,,,,,3,3,1,1,,,7,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,1,,,,,1,
,,,,,,,1,6,7,2,2,,,25,
,,,,,,,1,,1,,,,,12,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,2,3,1,1,,,15,
,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,53,
,,,,,,,,3,3,4,4,,,7,
,,,,,,,,3,3,4,4,,,7,
,,,,,,,11,81,92,97,97,,,637,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
