"Summer 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1","Sophomore
1
1
1
1","Junior
1
2
1
1
1
2
8
1
1
2
2
2
1
1
2","Senior
1
2
1
1
1
1
1
8
2
1
3
1
1
2
1
2
1
6
1
1",PB,"Total
2
2
2
2
1
1
1
2
3
16
3
1
4
1
1
1
3
2
1
4
1
8
1
1
1
2
5",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,2,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,3,
,,,,,,,,1,1,,,,,4,
,,,,,,,,3,3,1,1,,,20,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,,,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,,,,,4,
,,,,,,,,2,3,1,1,,,5,
,,,,,,,1,2,3,3,3,,,14,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,1,,1,,,,,3,
,,,,,,,1,1,2,,,,,7,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
