Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,498,-12.9%,190,1.1%,36,-14.3%,,,724,-9.7%,
Gender,Female,106,-17.2%,67,-16.3%,13,-18.8%,,,186,-17.0%,
,Male,392,-11.7%,123,13.9%,23,-11.5%,,,538,-6.9%,
Ethnicity,White,412,-13.8%,82,-9.9%,9,-10.0%,,,503,-13.1%,
,Black,7,16.7%,5,-16.7%,1,0.0%,,,13,0.0%,
,Hispanic,61,-4.7%,12,-29.4%,3,0.0%,,,76,-9.5%,
,Asian,7,-53.3%,5,-50.0%,1,0.0%,,,13,-50.0%,
,American Indian,4,300.0%,,,,,,,4,300.0%,
,International,4,0.0%,82,36.7%,22,-15.4%,,,108,20.0%,
,Unknown/Other,3,-25.0%,4,0.0%,0,-100.0%,,,7,-22.2%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,176,-15.4%,,,,,,,176,-15.4%,
,22-25,293,-10.9%,81,11.0%,0,-100.0%,,,374,-7.2%,
,26-30,24,-7.7%,72,-10.0%,12,71.4%,,,108,-4.4%,
,31-39,4,-55.6%,31,6.9%,15,-31.8%,,,50,-16.7%,
,40+,1,100.0%,6,0.0%,9,-25.0%,,,16,-11.1%,
Enrollment,1st Time in College,0,-100.0%,,,,,,,0,-100.0%,
Status,1st Time PB,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,9,-25.0%,,,,,9,-25.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,5,0.0%,,,,,,,5,0.0%,
,Readmitted,6,200.0%,1,0.0%,,,,,7,133.3%,
,Continuing,487,-13.7%,180,3.4%,36,-14.3%,,,703,-9.9%,
Tuition,Resident Tuition,475,-12.7%,89,-4.3%,14,7.7%,,,578,-11.1%,
Status,Non-Resident Tuition,8,-27.3%,33,43.5%,6,-14.3%,,,47,14.6%,
,Tuition  Exemption/Waiver,15,-11.8%,68,-5.6%,16,-27.3%,,,99,-10.8%,
Residency,Texas Resident,482,-12.2%,90,-8.2%,13,-7.1%,,,585,-11.5%,
Status,"Non-TX, US Resident",12,-36.8%,16,-46.7%,1,-50.0%,,,29,-43.1%,
,"Non-TX, Non-US Resident",4,0.0%,84,40.0%,22,-15.4%,,,110,22.2%,
SCH,< 6 SCH,197,34.0%,100,-12.3%,17,-10.5%,,,314,12.1%,
Categories,6-8 SCH,152,-17.4%,67,0.0%,19,-17.4%,,,238,-13.1%,
,9-11 SCH,89,-7.3%,17,325.0%,,,,,106,6.0%,
,12-14 SCH,52,-46.4%,4,33.3%,,,,,56,-44.0%,
,15-17 SCH,6,-84.6%,2,100.0%,,,,,8,-79.5%,
,>17 SCH,2,-77.8%,,,,,,,2,-77.8%,
Ft/Pt:,Less Than Half Time,28,-34.9%,26,30.0%,9,-30.8%,,,63,-17.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","184
0","64.3%
-100.0%","56
0","-18.8%
-100.0%",6,20.0%,,,"246
0","32.3%
-100.0%",
,Full-Time,286,-30.8%,108,13.7%,21,-12.5%,,,415,-22.0%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
