Top 10% Texas High School Students,,,,,
Summer 2007,,,,,
Summer 2007                            Freshman       Sophomore          Grand Total,,,,,
Headcount Total,,35,1,36,
Gender,Female,11,1,12,
,Male,24,,24,
Ethnicity,White,18,1,19,
,Black,6,,6,
,Hispanic,11,,11,
TAMU Age Categories,18-21,35,1,36,
College,Agriculture,2,1,3,
,Business Admin,2,,2,
,Education,1,,1,
,Engineering,24,,24,
,Liberal Arts,2,,2,
,Science,2,,2,
,Veterinary Medicine,1,,1,
,General Studies,1,,1,
Enrollment Status,1st Time in College,35,1,36,
Tuition Status,Resident Tuition,35,1,36,
Residency Status,Texas Resident,35,1,36,
SCH Categories,< 6 SCH,2,,2,
,6-8 SCH,29,1,30,
,9-11 SCH,3,,3,
,12-14 SCH,1,,1,
Ft/Pt: TAMU Status,Less Than Half Time,1,,1,
,Half-Time,2,1,3,
,Full-Time,32,,32,
"Prepared by OISP, 09 Aug 07",,,,,
